split,doc_id,n_candidates,mean_tokens,median_tokens,p90_tokens,p95_tokens,p99_tokens,max_tokens,n_over_max_seq_length,fraction_over_max_seq_length,n_over_512
dev,nerc_003_january_2025_arctic_events_a_system_perfor,396,39.2020202020202,34.0,63.0,84.75,165.05,192,0,0.0,0
dev,nerc_007_panhandle_wind_disturbance_report,380,36.463157894736845,31.0,58.0,77.20000000000005,131.88999999999982,167,0,0.0,0
dev,nerc_008_nerc_2021_california_solar_pv_disturbances,708,40.69774011299435,33.5,67.30000000000007,83.64999999999998,140.5799999999997,379,2,0.002824858757062147,0
dev,nerc_014_april_may_2018_solar_pv_disturbance_report,255,36.05490196078431,31.0,54.0,60.599999999999966,128.64000000000027,264,1,0.00392156862745098,0
dev,nerc_016_september_2017_hurricane_irma_event_analys,179,32.80446927374302,27.0,50.0,61.29999999999998,125.88,272,1,0.00558659217877095,0
dev,nerc_017_august_2017_hurricane_harvey_event_analysi,291,41.62199312714777,28.0,66.0,110.0,203.6000000000006,673,2,0.006872852233676976,2
dev,nerc_018_900_mw_solar_photovoltaic_resource_interru,169,36.95266272189349,32.0,57.20000000000002,66.79999999999998,110.7599999999997,178,0,0.0,0
dev,nerc_019_1200_mw_fault_induced_solar_photovoltaic_r,292,40.17123287671233,33.0,66.0,83.24999999999994,182.42999999999932,239,0,0.0,0
dev,nerc_021_hurricane_sandy_event_analysis_report,244,36.881147540983605,27.0,60.0,95.64999999999995,187.83999999999992,248,0,0.0,0
dev,nerc_026_aep_summer_2022_storm_event_observations,153,33.04575163398693,28.0,50.80000000000001,59.80000000000001,125.83999999999992,149,0,0.0,0
dev,nerc_027_analysis_and_risk_mitigations_for_loss_of_,184,37.744565217391305,28.5,68.10000000000005,76.85,159.77999999999832,290,2,0.010869565217391304,0
dev,nerc_028_ems_special_assessment,169,38.68639053254438,28.0,70.20000000000002,76.0,211.31999999999965,271,1,0.005917159763313609,0
test,nerc_001_november_13_wyoming_disturbance_report,598,34.061872909699,30.0,55.0,63.14999999999998,101.02999999999997,225,0,0.0,0
test,nerc_002_inverter_based_resource_disturbances_in_th,78,35.42307692307692,27.0,62.39999999999998,74.54999999999986,123.7300000000002,163,0,0.0,0
test,nerc_004_march_april_2022_california_battery_energy,147,38.156462585034014,28.0,60.200000000000045,111.89999999999992,233.61999999999958,296,2,0.013605442176870748,0
test,nerc_005_nerc_2023_southwest_ut_disturbance_report,115,34.417391304347824,31.0,56.0,64.3,71.86,81,0,0.0,0
test,nerc_006_june_2022_odessa_disturbance_report,576,47.05555555555556,36.0,71.5,98.75,268.0,525,10,0.017361111111111112,1
test,nerc_009_odessa_disturbance_report,711,37.949367088607595,33.0,60.0,74.0,144.69999999999993,195,0,0.0,0
test,nerc_011_san_fernando_disturbance_report,274,38.339416058394164,32.5,59.70000000000002,77.69999999999993,123.26999999999998,137,0,0.0,0
test,nerc_012_january_11_oscillation_event_report,142,34.53521126760563,29.0,53.900000000000006,77.89999999999998,110.90000000000003,124,0,0.0,0
test,nerc_015_polar_vortex_review,423,35.30260047281324,31.0,53.80000000000001,62.0,125.77999999999997,304,1,0.002364066193853428,0
test,nerc_030_winter_storm_elliott_recommendation_3_blac,397,39.788413098236774,33.0,60.400000000000034,86.59999999999997,171.32000000000068,327,2,0.005037783375314861,0
test,nerc_032_winter_storm_elliott_recommendation_11_eip,51,39.09803921568628,32.0,65.0,91.0,149.0,159,0,0.0,0
test,nerc_036_2022_state_of_reliability_report,660,46.52272727272727,38.0,82.0,113.0,190.6899999999997,310,2,0.0030303030303030303,0
test,nerc_040_2018_state_of_reliability_report,1772,41.387133182844245,34.0,71.0,93.44999999999982,173.28999999999996,302,3,0.001693002257336343,0
test,nerc_041_2017_state_of_reliability_report,1898,41.141201264488934,33.0,69.0,96.0,169.08999999999992,398,6,0.003161222339304531,0
test,nerc_042_2016_state_of_reliability_report,1662,39.68231046931408,33.0,67.90000000000009,91.94999999999982,158.77999999999975,516,3,0.0018050541516245488,1
