scenario,method,method_type,seed_index,seed_value,full_front_size,matched_output_cardinality,matched_single_hv_analytic_ref1p2,compromise_max_score,compromise_sum_tiebreak,objective_cost,objective_negative_reliability,objective_negative_renewable,objective_risk,objective_negative_quality,portfolio_size,selected_candidate_ids,selected_set_sha256
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,10,181779,39,1,0.0142126504,0.9843242730,3.1368174910,1129.7339803970,-5.8077122255,-172.4725212211,0.1984499327,-0.7735714286,14,rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-16.0-reliability-automation;rts-zone-16.0-flexible-renewable-support;rts-zone-17.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-transmission-reinforcement;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-36.0-reliability-automation;rts-zone-36.0-flexible-renewable-support;simbench-LV5.211-feeder-reinforcement,f3c7e2c5fc7ed3287cd02b85ad82279f7d9758dc5542afbc121ae0f42ec61b18
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,11,189698,39,1,0.0124052951,0.9839026750,3.1671652013,1139.2100000000,-2.8377777778,-177.1111621053,0.1890000000,-0.7650000000,14,rts-zone-11.0-flexible-renewable-support;rts-zone-14.0-transmission-reinforcement;rts-zone-14.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-25.0-reliability-automation;rts-zone-26.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-33.0-flexible-renewable-support;rts-zone-34.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support,1662674e13f59fd5098c299b6ee82fee57baf9347c72353015f09810ff52b34b
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,12,197617,39,1,0.0180532016,0.9870317505,3.1118104154,1108.8199215880,-13.4658903104,-142.6834427789,0.2410854450,-0.7707142857,14,rts-zone-12.0-flexible-renewable-support;rts-zone-13.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-33.0-flexible-renewable-support;rts-zone-34.0-transmission-reinforcement;rts-zone-36.0-flexible-renewable-support;simbench-LV5.207-feeder-reinforcement;simbench-LV5.209-feeder-reinforcement;simbench-LV5.210-feeder-reinforcement;simbench-LV5.213-feeder-reinforcement,8e7d164ca045a7f38027fea303d32c21eb6c66c9eaf941e554d80433d270ea4c
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,13,205536,38,1,0.0224382169,0.9848649003,3.0130690100,959.0799803970,-4.9949447998,-166.5242580632,0.2027582548,-0.7633333333,12,rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-17.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-37.0-flexible-renewable-support;simbench-LV5.208-feeder-reinforcement,b464eb4950b8ddd6d59b9ca7f6acc2dae88f61bf9b21349a747ca76a549068e3
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,14,213455,39,1,0.0135934113,0.9827737432,3.1427035398,1118.2340000000,-2.9011059351,-189.5322589474,0.1855428571,-0.7657142857,14,rts-zone-12.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-reliability-automation;rts-zone-16.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-25.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-33.0-flexible-renewable-support;rts-zone-34.0-flexible-renewable-support,002e9ad469348284d2d26fb2abc2309f02cc57e534f332bd26d420e68e1b4521
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,15,221374,38,1,0.0128064937,0.9852059180,3.1551980648,1137.4591958709,-3.5483924887,-162.7722031053,0.1878714286,-0.7692857143,14,rts-zone-11.0-flexible-renewable-support;rts-zone-13.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-reliability-automation;rts-zone-16.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-32.0-transmission-reinforcement;rts-zone-32.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;rts-zone-37.0-flexible-renewable-support;simbench-LV5.206-storage-flexibility,a4c2311b47e4b17294b610847d28984afc1c769cbfcbaad4365758b5ef58da0e
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,16,229293,39,1,0.0137755961,0.9847118038,3.1542473214,1101.7780000000,-2.4072222222,-168.2087052632,0.1958461538,-0.7584615385,13,rts-zone-11.0-flexible-renewable-support;rts-zone-12.0-flexible-renewable-support;rts-zone-13.0-transmission-reinforcement;rts-zone-13.0-flexible-renewable-support;rts-zone-14.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-24.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-33.0-transmission-reinforcement;rts-zone-36.0-flexible-renewable-support,b6d5a4e9c1d3c1a8d975a5109f053195772bdc94abd883f1e9e770f24997ea7f
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,17,237212,38,1,0.0165259186,0.9841242628,3.1148733842,1074.6919803970,-5.1505003554,-174.6731380632,0.2053768506,-0.7623076923,13,rts-zone-13.0-flexible-renewable-support;rts-zone-15.0-flexible-renewable-support;rts-zone-16.0-transmission-reinforcement;rts-zone-16.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-31.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;simbench-LV5.208-feeder-reinforcement,1e18b0915b8441532c027970ecd02e50a72c93292e47fcacb236cd6cb8d83ac8
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,18,245131,40,1,0.0151628054,0.9851708717,3.1411725317,1097.7359803970,-5.1155003554,-163.1578012211,0.2090999275,-0.7615384615,13,rts-zone-12.0-flexible-renewable-support;rts-zone-16.0-flexible-renewable-support;rts-zone-21.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-24.0-transmission-reinforcement;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-32.0-flexible-renewable-support;rts-zone-34.0-flexible-renewable-support;rts-zone-35.0-flexible-renewable-support;rts-zone-36.0-transmission-reinforcement;rts-zone-36.0-flexible-renewable-support;simbench-LV5.205-feeder-reinforcement,ce701bbad8e4aae787e094261048a8843e29ccd5ee64fc0151fb98129bef1ac3
benchmark_portfolio_optimization,TRACE-MOEA,shared_custom_moea,19,253050,38,1,0.0155018321,0.9851535853,3.1198817377,1101.6279803970,-5.6093840682,-163.3479949053,0.1978499327,-0.7685714286,14,rts-zone-12.0-flexible-renewable-support;rts-zone-13.0-flexible-renewable-support;rts-zone-14.0-flexible-renewable-support;rts-zone-17.0-flexible-renewable-support;rts-zone-22.0-flexible-renewable-support;rts-zone-23.0-reliability-automation;rts-zone-24.0-flexible-renewable-support;rts-zone-25.0-flexible-renewable-support;rts-zone-26.0-flexible-renewable-support;rts-zone-27.0-flexible-renewable-support;rts-zone-33.0-flexible-renewable-support;rts-zone-36.0-flexible-renewable-support;rts-zone-37.0-flexible-renewable-support;simbench-LV5.213-feeder-reinforcement,84066124671824a2ca41f33c3d01ebc149103a72576a90d45ccf0a2c61af08ae
