setting_id,axis,shield_mean_hv,nsga2_repair_mean_hv,primary_gap,relative_gap_pct,bootstrap95_low,bootstrap95_high,unclipped_gap_ref_1p1,clipped_gap_ref_1p2,fronts_with_any_clipping_of_150
reference,reference,0.2710828037,0.2572481645,0.0138346393,5.377935,0.0096298318,0.0180863427,0.0138472949,0.0213463740,13
budget_tight_0p82,budget_tightness,0.2590927993,0.2481957451,0.0108970542,4.390508,0.0076509723,0.0144054669,0.0155890027,0.0182282042,149
budget_loose_1p20,budget_tightness,0.3026907471,0.2925600444,0.0101307028,3.462777,0.0055728447,0.0145682546,0.0080824333,0.0127842728,77
scenarios_8,scenario_count,0.2698644074,0.2530914924,0.0167729150,6.627214,0.0128783882,0.0204674965,0.0170892622,0.0251731148,20
scenarios_32,scenario_count,0.2725454142,0.2565691987,0.0159762155,6.226864,0.0108198069,0.0208293865,0.0161478424,0.0224607503,17
resilience_scale_0p75,survivability_action_scale,0.2808676211,0.2620135433,0.0188540777,7.195841,0.0138536244,0.0247267958,0.0236068535,0.0287365421,146
resilience_scale_1p25,survivability_action_scale,0.2726340101,0.2587309235,0.0139030867,5.373570,0.0099281897,0.0179270363,0.0139559595,0.0199163525,19
