"method","method_role","archived_rows","inferential_n_per_label","archive_label_blocks","active_proxy_configurations","mean_hv","sd_hv","mean_sampled_worst_envelope_hv","mean_runtime_s","mean_feasible_front_size","aggregation_scope"
"SHIELD-MOEA","proposed","240","30","8","5","0.27396193","0.02699979","0.26911449","0.08892595","38.8917","descriptive over eight archived label blocks; reference configuration is represented four times"
"NSGA-II+Repair","baseline","240","30","8","5","0.26069954","0.02696441","0.25654491","0.09114664","39.9875","descriptive over eight archived label blocks; reference configuration is represented four times"
"NSGA-II","baseline","240","30","8","5","0.25952923","0.02816385","0.25541209","0.09243713","39.9958","descriptive over eight archived label blocks; reference configuration is represented four times"
"GA","baseline","240","30","8","5","0.21987273","0.02811458","0.22106743","0.00715053","1.0000","descriptive over eight archived label blocks; reference configuration is represented four times"
"MOEA/D","baseline","240","30","8","5","0.00047321","0.00001812","0.00047318","0.45027181","1.0000","descriptive over eight archived label blocks; reference configuration is represented four times"
"Weighted Sum","baseline","240","1","8","5","0.01962865","0.00146482","0.01804840","0.00039238","1.0000","descriptive over eight archived label blocks; reference configuration is represented four times"
"Deterministic Planning","baseline","240","1","8","5","0.02386880","0.00124267","0.02281648","0.00038489","1.0000","descriptive over eight archived label blocks; reference configuration is represented four times"
