"display_order","experiment_id","display_label","evidence_class","active_proxy_configuration","optimizer_seeds_per_method","shield_mean_hv","shield_sd_hv","nsga2_repair_mean_hv","nsga2_repair_sd_hv","shield_minus_repair_mean_hv","shield_minus_repair_relative_pct","shield_minus_repair_ci_low","shield_minus_repair_ci_high","shield_vs_repair_p_holm","nsga2_mean_hv","nsga2_sd_hv","shield_minus_nsga2_relative_pct","interpretation_note"
"1","deterministic_vs_scenario","Reference A","identical_range_replicate","reference","30","0.26958535","0.00706381","0.25322398","0.00833852","0.01636137","6.461226","0.01257459","0.02018018","1.4607726E-08","0.25443645","0.00980170","5.953902","Reference ranges; independent optimizer-seed block."
"2","der_uncertainty","DER-label replicate","identical_range_replicate","reference","30","0.27136646","0.00472953","0.25501841","0.00740711","0.01634805","6.410539","0.01333633","0.01955128","1.0439411E-09","0.25471323","0.00807755","6.538031","The wider DER-output range is inactive in all p4 objectives; independent optimizer-seed block, not DER-uncertainty evidence."
"3","scenario_screening_efficiency","Reference B","identical_range_replicate","reference","30","0.26702631","0.00908612","0.25495170","0.00697948","0.01207461","4.736038","0.00796025","0.01593178","3.7995727E-06","0.25481232","0.00946711","4.793328","Reference ranges; independent optimizer-seed block."
"4","pareto_quality","Reference C","identical_range_replicate","reference","30","0.26651628","0.00931945","0.25349226","0.00629534","0.01302402","5.137839","0.00905020","0.01697149","4.7666043E-06","0.25276291","0.01055178","5.441214","Reference ranges; independent optimizer-seed block."
"5","load_uncertainty","Wider load","active_configuration_change","wider_load_range","30","0.26210523","0.00578185","0.24767843","0.00961113","0.01442679","5.824808","0.01045921","0.01840528","2.4041543E-07","0.24771758","0.00887370","5.808083","The widened load range enters the p4 loss and voltage-risk objectives."
"6","outage_contingency","Higher outage","active_configuration_change","higher_outage_range","30","0.26981804","0.00718620","0.25599490","0.00811445","0.01382314","5.399772","0.00994590","0.01747362","4.6266173E-07","0.25224440","0.00928435","6.966909","The elevated outage range enters the p4 survivability objective."
"7","restoration_aware_evaluation","Expected-loss objective","active_configuration_change","expected_loss_substitution","30","0.33877953","0.00593288","0.32699274","0.00903246","0.01178679","3.604603","0.00796951","0.01556036","7.4433936E-06","0.32708099","0.00952247","3.576650","Expected loss replaces loss in both search and scoring; no recovery process is modeled."
"8","unseen_stress_generalization","Held-out load/outage","active_configuration_change","held_out_load_outage_ranges","30","0.24649824","0.01491240","0.23824389","0.00970635","0.00825435","3.464662","0.00181803","0.01432317","0.013354449","0.23246598","0.01097632","6.036265","Only the held-out load and outage shifts enter p4 scores; the simultaneous DER-output shift is inactive."
