run_id,setting_id,axis,budget_factor,scenario_count,screen_k,survivability_action_scale,method,method_role,seed_index,optimizer_seed,bounds_sha256,feasible_front_size,clipped_low_component_count,clipped_high_component_count,clipped_component_count,clipped_point_count,hv_clipped_ref_1p1,hv_unclipped_ref_1p1,hv_clipped_ref_1p2,runtime_s,run_status
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,0,310626,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,38,1,0,1,1,0.2755680544,0.2771542397,0.5849463046,0.114574,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,1,318545,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2805987835,0.2805987835,0.5917288807,0.079100,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,2,326464,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2767135361,0.2767135361,0.5848123998,0.080095,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,3,334383,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,38,0,0,0,0,0.2681206987,0.2681206987,0.5705965010,0.081347,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,4,342302,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2630206335,0.2630206335,0.5660605845,0.080992,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,5,350221,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2673992067,0.2673992067,0.5725696304,0.082038,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,6,358140,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2745132059,0.2745132059,0.5786772333,0.082852,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,7,366059,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2672577840,0.2672577840,0.5736647316,0.081873,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,8,373978,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2676806071,0.2676806071,0.5701732157,0.079999,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,9,381897,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2572241168,0.2572241168,0.5534382471,0.083175,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,10,389816,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2766063964,0.2766063964,0.5832362948,0.078862,complete
p4_s3_boundary_20260813,reference,reference,1.0,16,4,1.0,SHIELD-MOEA,proposed,11,397735,1dd81ef46166924c72c81c97c3af136e2a560f6dca5f0c941a646724d7345ad0,39,0,0,0,0,0.2763536427,0.2763536427,0.5849862299,0.082073,complete
