paper,method,method_role,mean_hypervolume,std_hypervolume,mean_feasible_front_size,mean_compromise_cost_index,mean_portfolio_size,mean_local_move_count,mean_decision_coverage,mean_runtime_s,runs
p5,Ablation-NoScheduleRisk,ablation,0.16661140,0.00446576,38.9000,0.93471503,11.4000,1030.1000,0.97677245,0.044419,30
p5,TRACE-MOEA,proposed,0.16605998,0.00518291,38.5333,0.92603754,11.2667,1007.5667,0.97644038,0.053236,30
p5,Ablation-NoPreferenceRanking,ablation,0.16513178,0.00620178,38.6000,0.93289758,11.2667,998.1667,0.95384945,0.046659,30
p5,Ablation-NoRenewableFeatures,ablation,0.16501207,0.00144525,38.2000,0.95883945,11.8000,780.4667,0.96062486,0.042365,30
p5,NSGA-II,baseline,0.16378155,0.00735237,40.0000,0.95193534,11.3000,0.0000,0.00000000,0.103367,30
p5,Ablation-NoFeasibilityRepair,ablation,0.16164964,0.00674186,39.1000,0.91369549,10.9333,0.0000,0.80403226,0.041804,30
p5,Ablation-NSGA2Only,ablation,0.16126863,0.00912785,39.1333,0.90448914,10.8000,0.0000,0.00000000,0.037518,30
p5,AHP-TOPSIS,baseline,0.13004575,0.00000000,1.0000,0.94918594,12.0000,0.0000,0.00000000,0.000445,30
p5,Ablation-NoReliabilityFeatures,ablation,0.07911243,0.01000375,37.8000,0.82151776,7.3667,772.2000,0.97175472,0.042115,30
p5,Ablation-SingleObjective,ablation,0.07688230,0.02186568,24.2667,0.93070563,11.0333,1742.1667,0.98584833,0.048891,30
p5,Random Feasible,baseline,0.06124544,0.01531823,1.0000,0.96485320,7.9000,0.0000,0.00000000,0.000350,30
p5,Ablation-SmallProjectPool,ablation,0.05500145,0.00174509,39.1667,0.94654973,9.4333,352.7667,0.95001055,0.043699,30
p5,Greedy BCR,baseline,0.03496111,0.00000000,1.0000,0.93936322,10.0000,0.0000,0.00000000,0.000329,30
p5,Weighted Sum,baseline,0.02803902,0.00000000,1.0000,0.97804598,3.0000,0.0000,0.00000000,0.000358,30
p5,MOEA/D,baseline,0.02404545,0.00498212,2.8333,0.10641272,1.1667,0.0000,0.00000000,0.318293,30
