paper,method,method_role,mean_hypervolume,std_hypervolume,mean_feasible_front_size,mean_compromise_cost_index,mean_portfolio_size,mean_local_move_count,mean_decision_coverage,mean_preference_achievement_distance,mean_runtime_s,runs
p5,TRACE-MOEA,proposed,0.17424740,0.00634763,38.6238,0.91357572,14.0667,806.2476,0.98568820,0.53394324,0.112995,210
p5,Ablation-NoScheduleRisk,ablation,0.17402541,0.00701730,38.6190,0.91487881,13.9429,804.8476,0.98634375,0.53375659,0.106973,210
p5,Ablation-NoPreferenceRanking,ablation,0.17395616,0.00563757,38.4952,0.92071038,14.1048,803.0667,0.96615403,0.53519501,0.108510,210
p5,Ablation-NoFeasibilityRepair,ablation,0.17300434,0.00652491,39.2095,0.90696818,13.4619,0.0000,0.86469946,0.53570964,0.105657,210
p5,NSGA-II,baseline,0.17270385,0.00642322,40.0000,0.93412089,13.5429,0.0000,0.00000000,0.53638089,0.145561,210
p5,Ablation-NSGA2Only,ablation,0.17249235,0.00651955,39.0429,0.90750857,13.3571,0.0000,0.00000000,0.53579239,0.101526,210
p5,Ablation-NoRenewableFeatures,ablation,0.16929588,0.00374682,37.6667,0.91099082,14.4238,599.4952,0.96373561,0.54155620,0.105958,210
p5,AHP-TOPSIS,baseline,0.13467830,0.00268779,1.0000,0.98656774,14.2857,0.0000,0.00000000,0.54457505,0.065390,210
p5,R-NSGA-II,baseline,0.11980226,0.02670657,39.9952,0.97788260,13.2952,0.0000,0.00000000,0.54541944,0.192243,210
p5,Ablation-SingleObjective,ablation,0.11616713,0.02636519,23.7429,0.94878078,14.3857,1610.6952,0.98351124,0.56972428,0.111827,210
p5,Ablation-NoReliabilityFeatures,ablation,0.09081027,0.02123886,38.1714,0.79681912,8.8143,595.0619,0.97716694,0.62871615,0.106201,210
p5,Random Feasible,baseline,0.08064060,0.02261091,1.0000,0.97587953,10.1762,0.0000,0.00000000,0.62380007,0.065302,210
p5,Ablation-SmallProjectPool,ablation,0.06919518,0.01279698,38.8333,0.90904914,11.0810,333.6810,0.96966723,0.36196239,0.079213,210
p5,Greedy BCR,baseline,0.05575570,0.03247700,1.0000,0.97153519,13.2857,0.0000,0.00000000,0.72101748,0.065101,210
p5,Weighted Sum,baseline,0.04104791,0.01991111,1.0000,0.97564973,5.4286,0.0000,0.00000000,0.72828639,0.065185,210
p5,MOEA/D,baseline,0.01954232,0.01379150,2.5381,0.05808502,0.8333,0.0000,0.00000000,0.92600160,0.374739,210
