paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p5,distribution_project_review,TRACE-MOEA vs MOEA/D,baseline,30,0.16490531,0.00047204,0.16443327,900.00,1.21178e-12,1.69649e-11,True
p5,distribution_project_review,TRACE-MOEA vs NSGA-II,baseline,30,0.16490531,0.16512127,-0.00021597,441.00,0.899995,1,False
p5,distribution_project_review,TRACE-MOEA vs Random Feasible,baseline,30,0.16490531,0.08890253,0.07600278,900.00,3.00475e-11,2.70427e-10,True
p5,distribution_project_review,TRACE-MOEA vs Weighted Sum,baseline,30,0.16490531,0.08192868,0.08297663,900.00,1.21178e-12,1.69649e-11,True
p5,preference_aware_support,TRACE-MOEA vs AHP-TOPSIS,baseline,30,0.17511901,0.13381786,0.04130115,900.00,1.21178e-12,1.69649e-11,True
p5,preference_aware_support,TRACE-MOEA vs Ablation-NSGA2Only,ablation,30,0.17511901,0.17330452,0.00181449,636.00,0.00609714,0.0243886,True
p5,preference_aware_support,TRACE-MOEA vs Ablation-NoFeasibilityRepair,ablation,30,0.17511901,0.17354135,0.00157766,604.00,0.0232434,0.0697303,False
p5,preference_aware_support,TRACE-MOEA vs Ablation-NoPreferenceRanking,ablation,30,0.17511901,0.17488683,0.00023219,473.00,0.739399,0.857927,False
p5,preference_aware_support,TRACE-MOEA vs Ablation-NoReliabilityFeatures,ablation,30,0.17511901,0.08804964,0.08706937,900.00,3.01986e-11,3.27838e-10,True
p5,preference_aware_support,TRACE-MOEA vs Ablation-NoRenewableFeatures,ablation,30,0.17511901,0.16901506,0.00610395,891.00,7.38908e-11,4.43345e-10,True
p5,preference_aware_support,TRACE-MOEA vs Ablation-NoScheduleRisk,ablation,30,0.17511901,0.17462120,0.00049781,504.00,0.428963,0.857927,False
p5,preference_aware_support,TRACE-MOEA vs Ablation-SingleObjective,ablation,30,0.17511901,0.10883715,0.06628187,900.00,3.01986e-11,3.27838e-10,True
p5,preference_aware_support,TRACE-MOEA vs Ablation-SmallProjectPool,ablation,30,0.17511901,0.06352856,0.11159046,900.00,3.01986e-11,3.27838e-10,True
p5,preference_aware_support,TRACE-MOEA vs Greedy BCR,baseline,30,0.17511901,0.04110810,0.13401091,900.00,1.21178e-12,1.69649e-11,True
p5,preference_aware_support,TRACE-MOEA vs MOEA/D,baseline,30,0.17511901,0.02454340,0.15057561,900.00,2.98034e-11,3.27838e-10,True
p5,preference_aware_support,TRACE-MOEA vs NSGA-II,baseline,30,0.17511901,0.17228519,0.00283382,717.00,8.14648e-05,0.000407324,True
p5,preference_aware_support,TRACE-MOEA vs Random Feasible,baseline,30,0.17511901,0.07258536,0.10253366,900.00,3.01986e-11,3.27838e-10,True
p5,preference_aware_support,TRACE-MOEA vs Weighted Sum,baseline,30,0.17511901,0.02801251,0.14710650,900.00,1.21178e-12,1.69649e-11,True
p5,reliability_driven_review,TRACE-MOEA vs AHP-TOPSIS,baseline,30,0.17223179,0.13384768,0.03838411,900.00,1.21178e-12,1.69649e-11,True
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NSGA2Only,ablation,30,0.17223179,0.17099923,0.00123255,555.00,0.122353,0.489412,False
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NoFeasibilityRepair,ablation,30,0.17223179,0.17183114,0.00040065,512.00,0.363222,1,False
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NoPreferenceRanking,ablation,30,0.17223179,0.17219539,0.00003640,447.00,0.970516,1,False
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NoReliabilityFeatures,ablation,30,0.17223179,0.07365153,0.09858025,900.00,3.01986e-11,3.01986e-10,True
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NoRenewableFeatures,ablation,30,0.17223179,0.17088754,0.00134424,660.00,0.00195268,0.0117161,True
p5,reliability_driven_review,TRACE-MOEA vs Ablation-NoScheduleRisk,ablation,30,0.17223179,0.17214002,0.00009176,412.00,0.579294,1,False
