budget_multiplier,comparison,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
0.75,TRACE-MOEA vs R-NSGA-II,0.05642524,899.00,3.3383888e-11,6.6767776e-11,True
0.75,TRACE-MOEA vs NSGA-II,0.00210785,595.00,0.032650939,0.032650939,True
1.00,TRACE-MOEA vs R-NSGA-II,0.04646226,900.00,3.0198594e-11,6.0397187e-11,True
1.00,TRACE-MOEA vs NSGA-II,0.00204182,662.00,0.0017665641,0.0017665641,True
1.25,TRACE-MOEA vs R-NSGA-II,0.04285283,900.00,3.0198594e-11,6.0397187e-11,True
1.25,TRACE-MOEA vs NSGA-II,0.00173643,666.00,0.0014423282,0.0014423282,True
