paper,experiment_id,comparison,opponent,opponent_role,inference_status,n_proposed,n_opponent_effective,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,rank_biserial,mean_diff_ci_low,mean_diff_ci_high,p_raw,p_holm_stochastic_family,significant_005_holm
p5,benchmark_portfolio_optimization,TRACE-MOEA vs AHP-TOPSIS,AHP-TOPSIS,baseline,descriptive_deterministic_n1,30,1,0.174415029,0.13381786000000004,0.04059716899999996,30.337631314683968,,,,,,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NSGA2Only,Ablation-NSGA2Only,ablation,inferential_stochastic,30,30,0.174415029,0.17286763300000002,0.0015473959999999787,0.895133445831342,0.2533333333333334,-0.00012815948333331633,0.0035248390333333635,0.09334079652708835,0.280022389581265,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoFeasibilityRepair,Ablation-NoFeasibilityRepair,ablation,inferential_stochastic,30,30,0.174415029,0.17261444433333337,0.0018005846666666325,1.0431251414797948,0.30666666666666664,0.0002489809083333225,0.003392654216666662,0.04206682132383563,0.16826728529534252,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoPreferenceRanking,Ablation-NoPreferenceRanking,ablation,inferential_stochastic,30,30,0.174415029,0.174313683,0.00010134600000000216,0.058140014172036736,0.14444444444444438,-0.0009376414250000346,0.001074258283333342,0.34028846509891686,0.5161029901724725,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoReliabilityFeatures,Ablation-NoReliabilityFeatures,ablation,inferential_stochastic,30,30,0.174415029,0.08489826266666665,0.08951676633333334,105.44004496864696,1.0,0.08619412873333339,0.09255237147500003,3.019859359162157e-11,3.560729839247993e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoRenewableFeatures,Ablation-NoRenewableFeatures,ablation,inferential_stochastic,30,30,0.174415029,0.16923951033333334,0.005175518666666656,3.058103073255758,0.8799999999999999,0.004091997833333262,0.0062095063083333416,4.9979539605688955e-09,2.998772376341337e-08,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-NoScheduleRisk,Ablation-NoScheduleRisk,ablation,inferential_stochastic,30,30,0.174415029,0.17469310433333332,-0.0002780753333333219,-0.15917934161998604,-0.1711111111111111,-0.0018123855666666556,0.001565134899999998,0.25805149508623626,0.5161029901724725,False
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-SingleObjective,Ablation-SingleObjective,ablation,inferential_stochastic,30,30,0.174415029,0.11456611333333333,0.05984891566666667,52.239631707269815,1.0,0.05249378222500001,0.06720758054999998,3.019859359162157e-11,3.560729839247993e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Ablation-SmallProjectPool,Ablation-SmallProjectPool,ablation,inferential_stochastic,30,30,0.174415029,0.06344727899999998,0.11096775000000002,174.8975712575476,1.0,0.10978629444166665,0.11210523130833333,3.019859359162157e-11,3.560729839247993e-10,True
p5,benchmark_portfolio_optimization,TRACE-MOEA vs Greedy BCR,Greedy BCR,baseline,descriptive_deterministic_n1,30,1,0.174415029,0.041108099999999995,0.13330692900000002,324.2838491684121,,,,,,False
