setting,comparison,percentage_definition,numerator_comparator_minus_proposed,denominator_comparator_mean_error,relative_reduction_percent_positive_favors_proposed,analysis_unit,analysis_unit_count,seeds_per_analysis_unit,inference_scope
OPSD lead 24 fixed split,CSA-LoadNet vs MLP,100 * (comparator mean error - proposed mean error) / comparator mean error,0.0013706500,0.0337154200,4.065351,fixed temporal split,1,10,seed dispersion and seed-level tests are conditional on the fixed split
OPSD lead 24 fixed split,CSA-LoadNet vs TemporalOnly (smaller head),100 * (comparator mean error - proposed mean error) / comparator mean error,0.0022464800,0.0345912500,6.494359,fixed temporal split,1,10,seed dispersion and seed-level tests are conditional on the fixed split
OPSD lead 24 rolling origins,CSA-LoadNet vs Target-self context,100 * (comparator mean error - proposed mean error) / comparator mean error,0.0002532248,0.0368937083,0.686363,rolling temporal origin,8,5,five matched seeds are averaged within each origin before origin-level inference
OPSD lead 24 rolling origins,CSA-LoadNet vs Uniform cross-series,100 * (comparator mean error - proposed mean error) / comparator mean error,0.0000657529,0.0367062364,0.179133,rolling temporal origin,8,5,five matched seeds are averaged within each origin before origin-level inference
OPSD lead 24 rolling origins,CSA-LoadNet vs Euclidean weights,100 * (comparator mean error - proposed mean error) / comparator mean error,0.0000094614,0.0366499449,0.025816,rolling temporal origin,8,5,five matched seeds are averaged within each origin before origin-level inference
OPSD lead 24 rolling origins,CSA-LoadNet vs Fixed distance scale,100 * (comparator mean error - proposed mean error) / comparator mean error,-0.0000409747,0.0365995088,-0.111954,rolling temporal origin,8,5,five matched seeds are averaged within each origin before origin-level inference
OPSD lead 24 rolling origins,CSA-LoadNet vs Independent encoders,100 * (comparator mean error - proposed mean error) / comparator mean error,0.0053941359,0.0420346194,12.832603,rolling temporal origin,8,5,five matched seeds are averaged within each origin before origin-level inference
Ausgrid lead 24 exact hierarchy with OLS,CSA-LoadNet vs DLinear,100 * (comparator mean error - proposed mean error) / comparator mean error,-0.0090214900,0.2804663700,-3.216603,fixed temporal split,1,10,seed dispersion and seed-level tests are conditional on the fixed split
