dataset,horizon_positions,method,method_role,seed_count,mean_runtime_seconds,primary_metric,mean_primary_error,runtime_scope
Ausgrid exact hierarchy,24,CSA-LoadNet,proposed,10,3.184340,hierarchy-weighted sMAPE,0.2894878550,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,DLinear,external baseline,10,2.539850,hierarchy-weighted sMAPE,0.2804663740,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,Euclidean weights,historical ablation,10,2.395570,hierarchy-weighted sMAPE,0.2896178140,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,Fixed distance scale,historical ablation,10,2.454940,hierarchy-weighted sMAPE,0.2901502460,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,LSTM,external baseline,10,2.969660,hierarchy-weighted sMAPE,0.3089382230,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,MLP,external baseline,10,2.940790,hierarchy-weighted sMAPE,0.2867201720,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,No sequence-phase features,historical ablation,10,2.634970,hierarchy-weighted sMAPE,0.2913997540,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,PatchTST-lite,external baseline,10,6.717730,hierarchy-weighted sMAPE,0.2864284300,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,TCN,external baseline,10,15.911280,hierarchy-weighted sMAPE,0.2892619870,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,TemporalOnly (smaller head),historical ablation,10,1.360630,hierarchy-weighted sMAPE,0.2892312740,within recorded dataset and execution environment only
Ausgrid exact hierarchy,24,Uniform/equal-weight neighbors,historical ablation,10,1.972310,hierarchy-weighted sMAPE,0.2899727870,within recorded dataset and execution environment only
OPSD,1,CSA-LoadNet,proposed,10,5.847140,MAPE,0.0106891400,within recorded dataset and execution environment only
OPSD,1,DLinear,external baseline,3,0.992400,MAPE,0.0126300133,within recorded dataset and execution environment only
OPSD,1,Euclidean weights,historical ablation,10,5.595510,MAPE,0.0106433990,within recorded dataset and execution environment only
OPSD,1,Fixed distance scale,historical ablation,10,5.781170,MAPE,0.0107069320,within recorded dataset and execution environment only
OPSD,1,LSTM,external baseline,3,26.991500,MAPE,0.0218896067,within recorded dataset and execution environment only
OPSD,1,MLP,external baseline,10,1.593900,MAPE,0.0101554810,within recorded dataset and execution environment only
OPSD,1,No sequence-phase features,historical ablation,10,5.680310,MAPE,0.0106173850,within recorded dataset and execution environment only
OPSD,1,PatchTST-lite,external baseline,3,54.005900,MAPE,0.0110420567,within recorded dataset and execution environment only
OPSD,1,TCN,external baseline,3,66.355167,MAPE,0.0120410967,within recorded dataset and execution environment only
OPSD,1,TemporalOnly (smaller head),historical ablation,10,4.047310,MAPE,0.0109805530,within recorded dataset and execution environment only
OPSD,1,Uniform/equal-weight neighbors,historical ablation,10,4.207920,MAPE,0.0106320520,within recorded dataset and execution environment only
OPSD,24,CSA-LoadNet,proposed,10,4.789730,MAPE,0.0323447710,within recorded dataset and execution environment only
OPSD,24,DLinear,external baseline,3,0.992767,MAPE,0.0406669233,within recorded dataset and execution environment only
OPSD,24,Euclidean weights,historical ablation,10,4.498000,MAPE,0.0322567480,within recorded dataset and execution environment only
OPSD,24,Fixed distance scale,historical ablation,10,4.615340,MAPE,0.0323019070,within recorded dataset and execution environment only
OPSD,24,LSTM,external baseline,3,26.864233,MAPE,0.0536877900,within recorded dataset and execution environment only
OPSD,24,MLP,external baseline,10,1.541800,MAPE,0.0337154160,within recorded dataset and execution environment only
OPSD,24,No sequence-phase features,historical ablation,10,4.734160,MAPE,0.0318729490,within recorded dataset and execution environment only
OPSD,24,PatchTST-lite,external baseline,3,53.566767,MAPE,0.0374130633,within recorded dataset and execution environment only
OPSD,24,TCN,external baseline,3,65.014800,MAPE,0.0359650167,within recorded dataset and execution environment only
OPSD,24,TemporalOnly (smaller head),historical ablation,10,3.199840,MAPE,0.0345912520,within recorded dataset and execution environment only
OPSD,24,Uniform/equal-weight neighbors,historical ablation,10,4.251610,MAPE,0.0324687150,within recorded dataset and execution environment only
SimBench,1,CSA-LoadNet,proposed,10,2.234680,normalized MAE,0.0333485750,within recorded dataset and execution environment only
SimBench,1,DLinear,external baseline,3,0.342900,normalized MAE,0.0416359967,within recorded dataset and execution environment only
SimBench,1,Euclidean weights,historical ablation,10,2.158090,normalized MAE,0.0334240130,within recorded dataset and execution environment only
SimBench,1,Fixed distance scale,historical ablation,10,2.195480,normalized MAE,0.0333087220,within recorded dataset and execution environment only
SimBench,1,LSTM,external baseline,3,10.591500,normalized MAE,0.0572494533,within recorded dataset and execution environment only
SimBench,1,MLP,external baseline,10,0.630430,normalized MAE,0.0333847260,within recorded dataset and execution environment only
SimBench,1,No sequence-phase features,historical ablation,10,2.225170,normalized MAE,0.0336272750,within recorded dataset and execution environment only
SimBench,1,PatchTST-lite,external baseline,3,17.403600,normalized MAE,0.0402014133,within recorded dataset and execution environment only
SimBench,1,TCN,external baseline,3,21.763367,normalized MAE,0.0372617333,within recorded dataset and execution environment only
SimBench,1,TemporalOnly (smaller head),historical ablation,10,1.637300,normalized MAE,0.0338922460,within recorded dataset and execution environment only
SimBench,1,Uniform/equal-weight neighbors,historical ablation,10,2.039230,normalized MAE,0.0334612210,within recorded dataset and execution environment only
SimBench,24,CSA-LoadNet,proposed,10,2.250940,normalized MAE,0.0606620070,within recorded dataset and execution environment only
SimBench,24,DLinear,external baseline,3,0.333800,normalized MAE,0.0783947533,within recorded dataset and execution environment only
