scope,method,method_role,reconciliation,fixed_split_count,seeds_on_split,mean_hierarchy_weighted_smape,std_hierarchy_weighted_smape_across_seeds_conditional_on_split,mean_coherence_violation,mean_leaf_smape,mean_region_smape,mean_system_smape,dispersion_scope,rank_within_reconciliation
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",DLinear,external baseline,Base,1,10,0.28031450,0.00123269,0.00157496,0.39534499,0.27045049,0.17514803,SD across optimization seeds conditional on one fixed temporal split,1
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",MLP,external baseline,Base,1,10,0.28687655,0.00337334,0.03750129,0.40760238,0.27533277,0.17769449,SD across optimization seeds conditional on one fixed temporal split,2
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",PatchTST-lite,external baseline,Base,1,10,0.28723509,0.00619417,0.03715859,0.40856111,0.27558247,0.17756169,SD across optimization seeds conditional on one fixed temporal split,3
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TemporalOnly (smaller head),historical ablation,Base,1,10,0.28923774,0.00629766,0.03989436,0.41247605,0.27702074,0.17821644,SD across optimization seeds conditional on one fixed temporal split,4
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",CSA-LoadNet,proposed,Base,1,10,0.29050989,0.00467185,0.04353445,0.41552186,0.27748433,0.17852348,SD across optimization seeds conditional on one fixed temporal split,5
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Euclidean weights,historical ablation,Base,1,10,0.29062607,0.00504595,0.04354125,0.41544612,0.27769883,0.17873327,SD across optimization seeds conditional on one fixed temporal split,6
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Uniform/equal-weight neighbors,historical ablation,Base,1,10,0.29118523,0.00676572,0.04317917,0.41646031,0.27812423,0.17897117,SD across optimization seeds conditional on one fixed temporal split,7
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",Fixed distance scale,historical ablation,Base,1,10,0.29146541,0.00708511,0.04321872,0.41700878,0.27828614,0.17910130,SD across optimization seeds conditional on one fixed temporal split,8
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",TCN,external baseline,Base,1,10,0.29157430,0.00528054,0.04425808,0.41484150,0.27972461,0.18015677,SD across optimization seeds conditional on one fixed temporal split,9
"Ausgrid exact 12-leaf/4-region/system hierarchy, lead 24 fixed split",No sequence-phase features,historical ablation,Base,1,10,0.29246125,0.00788375,0.04120492,0.41703877,0.27956321,0.18078175,SD across optimization seeds conditional on one fixed temporal split,10
