setting,comparison,paired_relative_reduction_mean_pct,paired_relative_reduction_std_pct,paired_unit_count,paired_unit,percentage_denominator,uncertainty_scope
OPSD lead 1 fixed split,CSA-LoadNet vs MLP,-5.366185,4.954490,10,seed,comparator error in the same paired unit,seed variation conditional on one fixed split
OPSD lead 24 fixed split,CSA-LoadNet vs MLP,4.055291,2.295584,10,seed,comparator error in the same paired unit,seed variation conditional on one fixed split
SimBench lead 1 fixed split,CSA-LoadNet vs MLP,0.078192,2.198284,10,seed,comparator error in the same paired unit,seed variation conditional on one fixed split
SimBench lead 24 fixed split,CSA-LoadNet vs MLP,-3.559517,3.959761,10,seed,comparator error in the same paired unit,seed variation conditional on one fixed split
OPSD lead 24 rolling origins,CSA-LoadNet vs Target-self context,0.903278,2.000905,8,rolling origin after seed averaging,comparator error in the same paired unit,variation across 8 origins; 5 matched seeds averaged within origin
Ausgrid lead 24 exact hierarchy with OLS,CSA-LoadNet vs DLinear,-3.218040,1.823494,10,seed,comparator error in the same paired unit,seed variation conditional on one fixed split
