scope,method,method_role,origin_count,seeds_per_origin,mean_mape,std_mape_across_origin_means,mean_wape,std_wape_across_origin_means,mape_rank_within_six_arm_family,proposed_minus_control_mape,mape_bootstrap_95_ci_lower,mape_bootstrap_95_ci_upper,mape_holm_p,proposed_minus_control_wape,wape_raw_p,relative_reduction_proposed_vs_control_pct,percentage_denominator,dispersion_scope
OPSD lead 24 rolling origins,Fixed distance scale,weight-form control,8,5,0.0365995088,0.0100691124,0.0367307768,0.0092939331,1,0.0000409747,0.0000205581,0.0000610251,0.0625000000,0.0000446769,0.0078125000,-0.111954,Fixed distance scale mean MAPE,SD across 8 origin means after averaging 5 matched seeds within each origin
OPSD lead 24 rolling origins,CSA-LoadNet,proposed,8,5,0.0366404835,0.0100699896,0.0367754537,0.0092851533,2,,,,,,,,,SD across 8 origin means after averaging 5 matched seeds within each origin
OPSD lead 24 rolling origins,Euclidean weights,weight-form control,8,5,0.0366499449,0.0100904832,0.0367892939,0.0093327180,3,-0.0000094614,-0.0000723093,0.0000549518,0.9843750000,-0.0000138402,0.6875000000,0.025816,Euclidean weights mean MAPE,SD across 8 origin means after averaging 5 matched seeds within each origin
OPSD lead 24 rolling origins,Uniform cross-series,matched control,8,5,0.0367062364,0.0100747836,0.0368530298,0.0093193919,4,-0.0000657529,-0.0001949117,0.0000450800,0.9843750000,-0.0000775761,0.4218750000,0.179133,Uniform cross-series mean MAPE,SD across 8 origin means after averaging 5 matched seeds within each origin
OPSD lead 24 rolling origins,Target-self context,matched control,8,5,0.0368937083,0.0098685648,0.0371092741,0.0091979910,5,-0.0002532248,-0.0006688492,0.0002315019,0.9843750000,-0.0003338204,0.2265625000,0.686363,Target-self context mean MAPE,SD across 8 origin means after averaging 5 matched seeds within each origin
OPSD lead 24 rolling origins,Independent encoders,encoder control,8,5,0.0420346194,0.0092711640,0.0424402245,0.0086836136,6,-0.0053941359,-0.0069457336,-0.0039147453,0.0390625000,-0.0056647708,0.0078125000,12.832603,Independent encoders mean MAPE,SD across 8 origin means after averaging 5 matched seeds within each origin
