scope,method,method_role,fixed_split_count,seeds_on_split,mean_mape,std_mape_across_seeds_conditional_on_split,rank_within_seven_method_decision_set,holm_p_vs_proposed,verdict_for_proposed,relative_reduction_proposed_vs_method_pct,percentage_denominator,dispersion_scope
OPSD lead 24 fixed split,No sequence-phase features,historical ablation,1,10,0.03187295,0.00056315,1,0.484898,not separable,-1.480315,No sequence-phase features mean MAPE,SD across optimization seeds conditional on one fixed temporal split
OPSD lead 24 fixed split,Euclidean weights,historical ablation,1,10,0.03225675,0.00073787,2,1,not separable,-0.272873,Euclidean weights mean MAPE,SD across optimization seeds conditional on one fixed temporal split
OPSD lead 24 fixed split,Fixed distance scale,historical ablation,1,10,0.03230191,0.00071747,3,1,not separable,-0.132686,Fixed distance scale mean MAPE,SD across optimization seeds conditional on one fixed temporal split
OPSD lead 24 fixed split,CSA-LoadNet,proposed,1,10,0.03234477,0.00081680,4,,proposed,,,SD across optimization seeds conditional on one fixed temporal split
OPSD lead 24 fixed split,Uniform/equal-weight neighbors,historical ablation,1,10,0.03246871,0.00050568,5,1,not separable,0.381721,Uniform/equal-weight neighbors mean MAPE,SD across optimization seeds conditional on one fixed temporal split
OPSD lead 24 fixed split,MLP,external baseline,1,10,0.03371542,0.00058683,6,0.00853125,significant win,4.065351,MLP mean MAPE,SD across optimization seeds conditional on one fixed temporal split
OPSD lead 24 fixed split,TemporalOnly (smaller head),historical ablation,1,10,0.03459125,0.00025077,7,0.00109603,significant win,6.494359,TemporalOnly (smaller head) mean MAPE,SD across optimization seeds conditional on one fixed temporal split
