proposed,control,metric,outer_unit,n_outer_units,mean_difference_proposed_minus_control,relative_difference_percent,bootstrap_95_ci_lower,bootstrap_95_ci_upper,exact_sign_flip_p,holm_p_primary_family,origins_favoring_proposed,origins_favoring_control,zero_difference_origins,interpretation
CSA-Poincare-Shared,TargetSelfContext-Matched,mape,rolling_origin,8,-0.0002532248,-0.686363,-0.0006688492,0.0002315019,0.3281250000,0.9843750000,6,2,0,proposed_lower_error
CSA-Poincare-Shared,TargetSelfContext-Matched,wape,rolling_origin,8,-0.0003338204,-0.899561,-0.0007775330,0.0001529431,0.2265625000,,5,3,0,proposed_lower_error
CSA-Poincare-Shared,UniformCrossSeries-Matched,mape,rolling_origin,8,-0.0000657529,-0.179133,-0.0001949117,0.0000450800,0.3906250000,0.9843750000,6,2,0,proposed_lower_error
CSA-Poincare-Shared,UniformCrossSeries-Matched,wape,rolling_origin,8,-0.0000775761,-0.210501,-0.0002362886,0.0000570124,0.4218750000,,6,2,0,proposed_lower_error
CSA-Poincare-Shared,CSA-Euclidean-Shared,mape,rolling_origin,8,-0.0000094614,-0.025816,-0.0000723093,0.0000549518,0.7265625000,0.9843750000,4,4,0,proposed_lower_error
CSA-Poincare-Shared,CSA-Euclidean-Shared,wape,rolling_origin,8,-0.0000138402,-0.037620,-0.0000825350,0.0000637700,0.6875000000,,4,4,0,proposed_lower_error
CSA-Poincare-Shared,CSA-FixedScale-Shared,mape,rolling_origin,8,0.0000409747,0.111954,0.0000205581,0.0000610251,0.0156250000,0.0625000000,1,7,0,control_lower_error
CSA-Poincare-Shared,CSA-FixedScale-Shared,wape,rolling_origin,8,0.0000446769,0.121633,0.0000231505,0.0000671801,0.0078125000,,0,8,0,control_lower_error
CSA-Poincare-Shared,CSA-Poincare-IndependentEncoder,mape,rolling_origin,8,-0.0053941359,-12.832603,-0.0069457336,-0.0039147453,0.0078125000,0.0390625000,8,0,0,proposed_lower_error
CSA-Poincare-Shared,CSA-Poincare-IndependentEncoder,wape,rolling_origin,8,-0.0056647708,-13.347646,-0.0074408284,-0.0040399574,0.0078125000,,8,0,0,proposed_lower_error
