method,rolling_origin,seed,forecast_target_date_utc,target_count,mape,wape,mae,rmse,smape
CSA-Poincare-Shared,2017-01-01T00:00:00Z,23,2017-01-25,144,0.0167072685,0.0177753537,775.8897230360,1187.1515174097,0.0166135346
CSA-Poincare-Shared,2017-01-01T00:00:00Z,23,2017-01-26,144,0.0194238161,0.0212575206,923.9011840820,1387.9809194714,0.0193119233
CSA-Poincare-Shared,2017-01-01T00:00:00Z,23,2017-01-27,144,0.0234491706,0.0287089809,1212.0275472005,2014.8944609297,0.0230130559
CSA-Poincare-Shared,2017-01-01T00:00:00Z,23,2017-01-28,144,0.0462855419,0.0577512850,2097.9255574544,3221.7848538701,0.0447273831
CSA-Poincare-Shared,2017-01-01T00:00:00Z,23,2017-01-29,144,0.0314096343,0.0335151091,1128.3259209527,1590.0461084512,0.0309295093
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-02,144,0.1293984150,0.1286045798,4797.7030707465,6433.9919073433,0.1421148921
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-03,144,0.0448906078,0.0504916270,2027.0994194878,3123.2742674682,0.0467451760
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-04,144,0.0269461243,0.0321356590,1301.3614976671,2090.0756094585,0.0274267648
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-05,144,0.0259835529,0.0245585647,980.4831678602,1412.3318238352,0.0256793927
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-06,144,0.0943661670,0.0773862521,2948.2841389974,3818.5894577208,0.0869376572
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-07,144,0.0777835942,0.0691920266,2590.0934855143,3287.8029772200,0.0833647559
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-08,144,0.0566125458,0.0548555507,1902.9868774414,2398.2394334686,0.0586912936
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-09,144,0.0651131749,0.0625451369,2569.8384060330,3510.0198358687,0.0685552256
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-10,144,0.0498134381,0.0498181950,2092.4086168077,2843.8062918109,0.0513353629
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-11,144,0.0315508227,0.0321501189,1344.3109673394,1826.7664068368,0.0313718545
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-12,144,0.0263776175,0.0269561841,1109.3939751519,1563.6607085064,0.0262784557
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-13,144,0.0428295284,0.0421580324,1746.9315117730,2345.6335755612,0.0442831001
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-14,144,0.0569976119,0.0555372491,2051.3442382812,2855.7543904596,0.0547690627
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-15,144,0.0361357577,0.0395352737,1374.3674248589,2100.0419411182,0.0359444323
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-16,144,0.0245826768,0.0260318695,1080.7810601128,1649.3109919015,0.0248019712
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-17,144,0.0249625240,0.0304000327,1316.0296291775,2195.1647751359,0.0254159648
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-18,144,0.0278183879,0.0337994851,1494.0956353082,2398.2620167011,0.0282361672
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-19,144,0.0238719393,0.0246838392,1092.8176269531,1625.6132718865,0.0238481342
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-20,144,0.0264021676,0.0273085450,1190.4986029731,1684.8493160781,0.0259497700
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-21,144,0.0275946503,0.0256960536,990.4196099175,1371.8925879547,0.0270488581
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-22,144,0.0300170427,0.0272224494,976.0614963108,1366.2021424659,0.0294415827
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-23,144,0.0252384902,0.0248003062,1056.5934109158,1487.3383777787,0.0252780263
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-24,144,0.0243308659,0.0239718871,1040.0273980035,1507.1814501492,0.0240227898
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-25,144,0.0243737193,0.0222300451,970.3358832465,1270.6734056375,0.0239943256
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-26,144,0.0216382261,0.0246332809,1070.6195610894,1629.1715307970,0.0214063158
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-27,144,0.0263729076,0.0328694522,1387.6731363932,2295.5733928078,0.0257840844
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-28,144,0.0382492993,0.0483839623,1757.6396959093,2882.5367615498,0.0370781752
CSA-Poincare-Shared,2017-01-01T00:00:00Z,47,2017-01-29,144,0.0314015779,0.0334297924,1125.4536336263,1640.4508400263,0.0307584963
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-02,144,0.1259352022,0.1254457200,4679.8591240777,6278.5243545624,0.1379423013
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-03,144,0.0485402546,0.0525956208,2111.5689629449,3060.5113982031,0.0506329840
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-04,144,0.0278604442,0.0339376332,1374.3340115017,2204.3844863444,0.0285030222
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-05,144,0.0284816108,0.0273141616,1090.4984063043,1470.3678858017,0.0281529010
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-06,144,0.0997237225,0.0837332099,3190.0924004449,4145.0792094370,0.0915310759
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-07,144,0.0799110542,0.0739391183,2767.7933146159,3429.8794383897,0.0852788116
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-08,144,0.0444216526,0.0400096236,1387.9687228733,1726.7936839095,0.0457169310
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-09,144,0.0726723304,0.0672498434,2763.1441718207,3686.3592290185,0.0769399733
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-10,144,0.0481079259,0.0463724024,1947.6822577582,2645.0955626084,0.0497485877
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-11,144,0.0290683025,0.0305122867,1275.8273722331,1765.7543459165,0.0291134905
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-12,144,0.0251764927,0.0262517391,1080.4022216797,1537.6390185085,0.0249471572
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-13,144,0.0409748380,0.0417981690,1732.0196058485,2299.1418808068,0.0421507578
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-14,144,0.0608897090,0.0609879591,2252.6736653646,3210.0501181844,0.0581411523
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-15,144,0.0421693162,0.0469287524,1631.3874308268,2478.4288212609,0.0423209405
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-16,144,0.0271610490,0.0295524414,1226.9467976888,1793.2400757826,0.0276113447
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-17,144,0.0284131044,0.0346357022,1499.3934665256,2473.0168591102,0.0291290135
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-18,144,0.0281868868,0.0358152262,1583.2008395725,2623.0167443722,0.0288234721
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-19,144,0.0243378612,0.0266961712,1181.9087863498,1940.8234665317,0.0244280766
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-20,144,0.0320669077,0.0327934248,1429.6084391276,1912.6382343949,0.0315257608
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-21,144,0.0373707907,0.0341402951,1315.8914727105,1703.4495102653,0.0364419233
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-22,144,0.0331872869,0.0303323510,1087.5670844184,1536.2099873946,0.0327358513
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-23,144,0.0265500166,0.0285322265,1215.5883178711,1729.9617312636,0.0269032533
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-24,144,0.0219006050,0.0223978041,971.7353447808,1330.7560891706,0.0218914284
CSA-Poincare-Shared,2017-01-01T00:00:00Z,59,2017-01-25,144,0.0177649735,0.0187834059,819.8909505208,1277.6922706690,0.0176708372
