method,origin_count,mean_mape,std_mape,mean_wape,std_wape,mean_mae,std_mae,mean_rmse,std_rmse,mean_smape,std_smape,mape_rank
CSA-FixedScale-Shared,8,0.0365995088,0.0100691124,0.0367307768,0.0092939331,1260.1027923826,339.7298277845,2072.1231954839,628.4530155643,0.0364784540,0.0096231282,1
CSA-Poincare-Shared,8,0.0366404835,0.0100699896,0.0367754537,0.0092851533,1261.6681174566,339.7046220216,2073.8497279552,627.4938338391,0.0365187829,0.0096222711,2
CSA-Euclidean-Shared,8,0.0366499449,0.0100904832,0.0367892939,0.0093327180,1262.1899444883,341.4518140544,2074.0010750922,628.8552337232,0.0365324912,0.0096527958,3
UniformCrossSeries-Matched,8,0.0367062364,0.0100747836,0.0368530298,0.0093193919,1264.3052374340,340.8065884429,2076.6137569106,628.4180376190,0.0365927016,0.0096312569,4
TargetSelfContext-Matched,8,0.0368937083,0.0098685648,0.0371092741,0.0091979910,1271.6157065679,329.0490568483,2090.0038514327,624.9418910826,0.0368062554,0.0094170186,5
CSA-Poincare-IndependentEncoder,8,0.0420346194,0.0092711640,0.0424402245,0.0086836136,1455.5369815281,330.0245440619,2298.3749898427,568.9270131165,0.0421358742,0.0088212990,6
