method,role,context_mode,encoder_mode,total_parameters,encoder_parameters,context_parameters,head_parameters,head_input_width,context_width,estimated_encoder_macs_per_unique_origin,attention_distance_path_executed,exact_primary_match_contract
CSA-Poincare-Shared,proposed,learned,shared,29815,20880,2406,6529,100,48,124416,True,True
TargetSelfContext-Matched,capacity_compute_matched_control,self,shared,29815,20880,2406,6529,100,48,124416,True,True
UniformCrossSeries-Matched,informative_cross_series_control,uniform,shared,29815,20880,2406,6529,100,48,124416,True,True
CSA-Euclidean-Shared,weight_form_control,euclidean,shared,29815,20880,2406,6529,100,48,124416,True,False
CSA-FixedScale-Shared,weight_form_control,fixed,shared,29815,20880,2406,6529,100,48,124416,True,False
CSA-Poincare-IndependentEncoder,shared_encoder_control,learned,independent,29815,20880,2406,6529,100,48,20304,True,False
