grouping,groups,singletons,max_size,rule
normalized_sql_70,70,58,19,lowercase gold SQL; replace quoted strings and numeric literals; normalize whitespace
difficulty_x_feature_39,39,22,29,exact difficulty + ordered sql_feature_tags; sensitivity only; not authoring provenance
