family,family_size,protocol,scenario,proposed,comparator,n_pairs,n_nonzero_pairs,positive_pairs,negative_pairs,mean_difference,median_difference,raw_sign_test_p,holm_adjusted_p,holm_significant_0p05,test
secondary_matched_time_16,16,matched_time,dependency_constrained_review,BiLo-NSGA,NSGA-II,30,30,29,1,0.0020379007,0.0020589532,0.0000000577,0.0000004619,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,dependency_constrained_review,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0567131037,0.0586913865,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,local_move_explainability,BiLo-NSGA,NSGA-II,30,30,21,9,-0.0002477958,0.0033324659,0.0427739453,0.1283218358,0,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,local_move_explainability,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0519346745,0.0524484583,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,ranking_robustness,BiLo-NSGA,NSGA-II,30,30,20,10,0.0003068683,0.0021105902,0.0987371467,0.1974742934,0,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,ranking_robustness,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0592300502,0.0616313498,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,budget_sensitivity,BiLo-NSGA,NSGA-II,30,30,6,24,-0.0088585363,-0.0083554033,0.0014309064,0.0071545318,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,budget_sensitivity,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0575993822,0.0555575405,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,project_pool_scalability,BiLo-NSGA,NSGA-II,30,30,28,2,0.0043481945,0.0055744336,0.0000008680,0.0000060759,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
secondary_matched_time_16,16,matched_time,project_pool_scalability,BiLo-NSGA,Pareto Local Search,30,30,30,0,0.0513925025,0.0500439099,0.0000000019,0.0000000298,1,exact two-sided paired sign test across the 30 common seed indices; zero differences omitted
