protocol,scenario,method,seed_index,scheme,reference_point,clip,hypervolume,below_zero_coordinates,above_one_coordinates,out_of_bounds_points,front_size,front_objectives_sha256
matched_evaluation,budget_constrained_selection,BiLo-NSGA,0,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1453356936,0,0,0,38,fd437d6381d0b832fec1df07a55f499582841a985c66d03c5c1077052baa55b7
matched_evaluation,budget_constrained_selection,BiLo-NSGA,0,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1453356936,0,0,0,38,fd437d6381d0b832fec1df07a55f499582841a985c66d03c5c1077052baa55b7
matched_evaluation,budget_constrained_selection,BiLo-NSGA,0,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1884573312,0,0,0,38,fd437d6381d0b832fec1df07a55f499582841a985c66d03c5c1077052baa55b7
matched_evaluation,budget_constrained_selection,BiLo-NSGA,0,analytic_ref1p05_unclipped,1.0500000000,0,0.0072054968,0,0,0,38,fd437d6381d0b832fec1df07a55f499582841a985c66d03c5c1077052baa55b7
matched_evaluation,budget_constrained_selection,BiLo-NSGA,0,analytic_ref1p1_unclipped,1.1000000000,0,0.0213717297,0,0,0,38,fd437d6381d0b832fec1df07a55f499582841a985c66d03c5c1077052baa55b7
matched_evaluation,budget_constrained_selection,BiLo-NSGA,0,analytic_ref1p2_unclipped,1.2000000000,0,0.0792173514,0,0,0,38,fd437d6381d0b832fec1df07a55f499582841a985c66d03c5c1077052baa55b7
matched_evaluation,budget_constrained_selection,NSGA-II,0,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1697218600,5,0,5,40,89f084083df32648fde9bc03e1ab420883a08de8a34fbdbc41661cbc6acc1cb6
matched_evaluation,budget_constrained_selection,NSGA-II,0,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.2097137789,5,0,5,40,89f084083df32648fde9bc03e1ab420883a08de8a34fbdbc41661cbc6acc1cb6
matched_evaluation,budget_constrained_selection,NSGA-II,0,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2582666135,1,0,1,40,89f084083df32648fde9bc03e1ab420883a08de8a34fbdbc41661cbc6acc1cb6
matched_evaluation,budget_constrained_selection,NSGA-II,0,analytic_ref1p05_unclipped,1.0500000000,0,0.0085235306,0,0,0,40,89f084083df32648fde9bc03e1ab420883a08de8a34fbdbc41661cbc6acc1cb6
matched_evaluation,budget_constrained_selection,NSGA-II,0,analytic_ref1p1_unclipped,1.1000000000,0,0.0245278359,0,0,0,40,89f084083df32648fde9bc03e1ab420883a08de8a34fbdbc41661cbc6acc1cb6
matched_evaluation,budget_constrained_selection,NSGA-II,0,analytic_ref1p2_unclipped,1.2000000000,0,0.0875740905,0,0,0,40,89f084083df32648fde9bc03e1ab420883a08de8a34fbdbc41661cbc6acc1cb6
matched_evaluation,budget_constrained_selection,Pareto Local Search,0,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1073456676,0,0,0,40,145524dcc97c8e2428bd288309582aa57902ca52267abb9ba0d9e094abb2aada
matched_evaluation,budget_constrained_selection,Pareto Local Search,0,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1073456676,0,0,0,40,145524dcc97c8e2428bd288309582aa57902ca52267abb9ba0d9e094abb2aada
matched_evaluation,budget_constrained_selection,Pareto Local Search,0,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.1523323870,0,0,0,40,145524dcc97c8e2428bd288309582aa57902ca52267abb9ba0d9e094abb2aada
matched_evaluation,budget_constrained_selection,Pareto Local Search,0,analytic_ref1p05_unclipped,1.0500000000,0,0.0062907209,0,0,0,40,145524dcc97c8e2428bd288309582aa57902ca52267abb9ba0d9e094abb2aada
matched_evaluation,budget_constrained_selection,Pareto Local Search,0,analytic_ref1p1_unclipped,1.1000000000,0,0.0193691847,0,0,0,40,145524dcc97c8e2428bd288309582aa57902ca52267abb9ba0d9e094abb2aada
matched_evaluation,budget_constrained_selection,Pareto Local Search,0,analytic_ref1p2_unclipped,1.2000000000,0,0.0743599994,0,0,0,40,145524dcc97c8e2428bd288309582aa57902ca52267abb9ba0d9e094abb2aada
matched_evaluation,budget_constrained_selection,NSGA-II,1,reported_empirical_ref1p1_clipped,1.1000000000,1,0.1719729163,3,0,3,38,eeaeac2ebe8701340d3c96598ea661bd9d26210935a11130ecc1e87f7aead776
matched_evaluation,budget_constrained_selection,NSGA-II,1,reported_empirical_ref1p1_unclipped,1.1000000000,0,0.1899999236,3,0,3,38,eeaeac2ebe8701340d3c96598ea661bd9d26210935a11130ecc1e87f7aead776
matched_evaluation,budget_constrained_selection,NSGA-II,1,expanded_empirical_ref1p1_unclipped,1.1000000000,0,0.2366862888,0,0,0,38,eeaeac2ebe8701340d3c96598ea661bd9d26210935a11130ecc1e87f7aead776
matched_evaluation,budget_constrained_selection,NSGA-II,1,analytic_ref1p05_unclipped,1.0500000000,0,0.0083254244,0,0,0,38,eeaeac2ebe8701340d3c96598ea661bd9d26210935a11130ecc1e87f7aead776
matched_evaluation,budget_constrained_selection,NSGA-II,1,analytic_ref1p1_unclipped,1.1000000000,0,0.0240292714,0,0,0,38,eeaeac2ebe8701340d3c96598ea661bd9d26210935a11130ecc1e87f7aead776
matched_evaluation,budget_constrained_selection,NSGA-II,1,analytic_ref1p2_unclipped,1.2000000000,0,0.0863601833,0,0,0,38,eeaeac2ebe8701340d3c96598ea661bd9d26210935a11130ecc1e87f7aead776
