cell,factor,n_runs,scenario_balanced_mean_hypervolume,difference_from_registered,relative_difference_percent,inference
bonus_1p00,dependency_group_order_bonus,80,0.1609643764,-0.0002331276,-0.1446223115,descriptive_no_p_values
bonus_1p12,dependency_group_order_bonus,80,0.1613528912,0.0001553872,0.0963955644,descriptive_no_p_values
depth_16,local_depth,80,0.1615517270,0.0003542230,0.2197447068,descriptive_no_p_values
depth_2,local_depth,80,0.1681097222,0.0069122183,4.2880429937,descriptive_no_p_values
penalty_20,local_violation_penalty,80,0.1611975040,0.0000000000,0.0000000000,descriptive_no_p_values
penalty_5,local_violation_penalty,80,0.1611975040,0.0000000000,0.0000000000,descriptive_no_p_values
registered,reference,80,0.1611975040,0.0000000000,0.0000000000,descriptive_no_p_values
