protocol,scenario,method,n_runs,mean_hypervolume,sd_hypervolume,median_hypervolume,mean_search_runtime_s,mean_total_runtime_s,mean_population_objective_evaluations,mean_local_proposal_evaluations,mean_total_evaluation_units,mean_final_population_feasibility_rate,nonempty_feasible_front_rate,mean_feasible_front_size
matched_time,budget_constrained_selection,BiLo-NSGA,30,0.1618032842,0.0088753318,0.1625748734,0.2006867300,0.2023239700,1556.8333333333,3812.6333333333,5369.4666666667,1.0000000000,1.0000000000,38.6333333333
matched_time,budget_constrained_selection,NSGA-II,30,0.1701556165,0.0013030075,0.1701538779,0.2005131800,0.2022245733,3278.7666666667,0.0000000000,3278.7666666667,1.0000000000,1.0000000000,38.7000000000
matched_time,budget_constrained_selection,Pareto Local Search,30,0.1046777635,0.0086572551,0.1041335810,0.2000356433,0.2017450900,40.0000000000,2444.0333333333,2484.0333333333,1.0000000000,1.0000000000,39.9666666667
matched_time,budget_sensitivity,BiLo-NSGA,30,0.1571612772,0.0083269707,0.1601690475,0.2006910833,0.2023157233,1702.7000000000,3691.0666666667,5393.7666666667,1.0000000000,1.0000000000,38.5000000000
matched_time,budget_sensitivity,NSGA-II,30,0.1660198135,0.0038930042,0.1673562627,0.2004740100,0.2020248933,3297.1333333333,0.0000000000,3297.1333333333,1.0000000000,1.0000000000,38.0333333333
matched_time,budget_sensitivity,Pareto Local Search,30,0.0995618950,0.0117311688,0.0991578663,0.2000404000,0.2017418100,40.0000000000,2445.7333333333,2485.7333333333,1.0000000000,1.0000000000,40.0000000000
matched_time,dependency_constrained_review,BiLo-NSGA,30,0.1723059469,0.0011020762,0.1722681968,0.2006485200,0.2023372367,1818.2000000000,3916.0666666667,5734.2666666667,1.0000000000,1.0000000000,38.8000000000
matched_time,dependency_constrained_review,NSGA-II,30,0.1702680462,0.0010996651,0.1704653342,0.2004783067,0.2019980800,3302.9666666667,0.0000000000,3302.9666666667,1.0000000000,1.0000000000,38.2000000000
matched_time,dependency_constrained_review,Pareto Local Search,30,0.1155928432,0.0145339103,0.1127794499,0.2000345500,0.2018207000,40.0000000000,2477.8666666667,2517.8666666667,1.0000000000,1.0000000000,39.9666666667
matched_time,local_move_explainability,BiLo-NSGA,30,0.1737070783,0.0074800592,0.1774074053,0.2006811933,0.2023136400,1458.2666666667,3971.7000000000,5429.9666666667,1.0000000000,1.0000000000,38.6666666667
matched_time,local_move_explainability,NSGA-II,30,0.1739548740,0.0010099096,0.1739652141,0.2005216600,0.2021077067,3291.4333333333,0.0000000000,3291.4333333333,1.0000000000,1.0000000000,38.5000000000
matched_time,local_move_explainability,Pareto Local Search,30,0.1217724037,0.0162146139,0.1197000838,0.2000346033,0.2017856267,40.0000000000,2440.0000000000,2480.0000000000,1.0000000000,1.0000000000,40.0000000000
matched_time,project_pool_scalability,BiLo-NSGA,30,0.1817793113,0.0031307791,0.1824023467,0.2006665400,0.2026417700,1314.0333333333,4092.5333333333,5406.5666666667,1.0000000000,1.0000000000,38.6666666667
matched_time,project_pool_scalability,NSGA-II,30,0.1774311168,0.0014879259,0.1771584536,0.2005161300,0.2020858867,3271.4666666667,0.0000000000,3271.4666666667,1.0000000000,1.0000000000,38.6333333333
matched_time,project_pool_scalability,Pareto Local Search,30,0.1303868088,0.0164572823,0.1299930465,0.2000390800,0.2018096100,40.0000000000,2428.5666666667,2468.5666666667,1.0000000000,1.0000000000,39.9666666667
matched_time,ranking_robustness,BiLo-NSGA,30,0.1742390033,0.0055343642,0.1762215786,0.2006970733,0.2023772566,1456.0666666667,3963.2333333333,5419.3000000000,1.0000000000,1.0000000000,38.6666666667
matched_time,ranking_robustness,NSGA-II,30,0.1739321350,0.0010387664,0.1736436661,0.2004369700,0.2021112900,3268.7333333333,0.0000000000,3268.7333333333,1.0000000000,1.0000000000,38.5000000000
matched_time,ranking_robustness,Pareto Local Search,30,0.1150089532,0.0112819699,0.1131403453,0.2000407967,0.2018277667,40.0000000000,2438.0666666667,2478.0666666667,1.0000000000,1.0000000000,40.0000000000
matched_time,reliability_prioritized_review,BiLo-NSGA,30,0.1722606617,0.0015130616,0.1719039490,0.2005883333,0.2022778533,1824.1333333333,3926.7000000000,5750.8333333333,1.0000000000,1.0000000000,38.7333333333
matched_time,reliability_prioritized_review,NSGA-II,30,0.1701452077,0.0009998342,0.1701924295,0.2005183000,0.2019917067,3285.8000000000,0.0000000000,3285.8000000000,1.0000000000,1.0000000000,38.6000000000
matched_time,reliability_prioritized_review,Pareto Local Search,30,0.1157949373,0.0125271379,0.1118329843,0.2000393300,0.2018762267,40.0000000000,2483.8000000000,2523.8000000000,1.0000000000,1.0000000000,39.9666666667
matched_time,renewable_accommodation_review,BiLo-NSGA,30,0.1745770160,0.0031431375,0.1760721530,0.2006871733,0.2028758634,1654.0000000000,4650.3666666667,6304.3666666667,1.0000000000,1.0000000000,38.5666666667
matched_time,renewable_accommodation_review,NSGA-II,30,0.1757844331,0.0009959808,0.1757763194,0.2004072767,0.2025429533,3329.7333333333,0.0000000000,3329.7333333333,1.0000000000,1.0000000000,38.3666666667
matched_time,renewable_accommodation_review,Pareto Local Search,30,0.1246096332,0.0092473366,0.1213612529,0.2000317633,0.2022257100,40.0000000000,2558.7000000000,2598.7000000000,1.0000000000,1.0000000000,39.9666666667
