budget,contrast,n_reports,n_series,report_equal_mean_delta,series_equal_mean_delta,bootstrap_95_low,bootstrap_95_high,exact_series_signflip_p,holm_adjusted_p,loso_min,loso_max
5,c2ges_full_minus_graph_no_cf_strict,15,10,-0.0033322691890715814,-0.00574353558286299,-0.015986259008994832,0.002230052134179415,0.31640625,0.31640625,-0.0075312853078998,-0.0014154892668893498
5,c2ges_full_minus_semantic_mmr,15,10,0.020736754757105624,0.021864265272829107,0.015484177979270274,0.028247859180230827,0.001953125,0.01171875,0.02008491943871505,0.02379191688738614
5,c2ges_full_minus_textrank,15,10,0.025437736692032364,0.028557225270913304,0.019926687642076904,0.038486235473779155,0.001953125,0.01171875,0.025036845858099576,0.030876528317643988
10,c2ges_full_minus_graph_no_cf_strict,15,10,-0.0033604351815848337,-0.004773270217972082,-0.010493856195785339,-8.396936508630954e-05,0.091796875,0.18359375,-0.0059973744288398575,-0.002388433006474234
10,c2ges_full_minus_semantic_mmr,15,10,0.01435989724581933,0.014205179273358853,0.0036258733048130467,0.023764033846898312,0.03125,0.125,0.012037344975623606,0.017422251933876916
10,c2ges_full_minus_textrank,15,10,0.012028981595047155,0.011009911672463296,0.0018825552393376586,0.01976350825609012,0.044921875,0.134765625,0.008066636306751066,0.014641672424974526
