method,method_role,runs,mean_hypervolume,std_hypervolume,mean_runtime_s,mean_accepted_move_repair_events,mean_position_cooccurrence,comparison_scope,relative_hypervolume_vs_bilo_pct,runtime_factor_vs_nsga2,evidence_implication
BiLo-NSGA,proposed,240,0.1718986728,0.008605168174,0.2188486208,3667.954167,0.9964325776,legacy fixed-generation pooled descriptive,0,2.743961121,1.12% higher legacy HV than NSGA-II at 2.74-times runtime; unmatched tradeoff
Ablation-NoBackwardSearch,ablation,240,0.1729430205,0.007970870974,0.1615834833,3295.229167,0.9778344096,legacy fixed-generation pooled descriptive,0.6075368071,2.025961116,0.61% higher pooled HV than full; all eight substitution contrasts unresolved
Ablation-LegacyDeletion,ablation,240,0.1722821231,0.008444498956,0.1933461417,3438.641667,0.9844562048,legacy fixed-generation pooled descriptive,0.2230676278,2.424206713,0.22% higher pooled HV than full; all eight contrasts unresolved
Ablation-NoForwardSearch,ablation,240,0.1725695634,0.006794232413,0.1138527208,1563.575,0.9985518597,legacy fixed-generation pooled descriptive,0.3902825604,1.427504721,"higher pooled HV; full resolves only in dependency-constrained review, local-move explainability, and project-pool scalability"
NSGA-II,baseline,240,0.1700029697,0.007391368469,0.07975645833,0,0,legacy fixed-generation pooled descriptive,-1.102802678,1,legacy comparator; matched-evaluation ordering reverses
AHP-TOPSIS,baseline,240,0.1387473825,0.001522808001,0.0004048375,0,0,legacy fixed-generation pooled descriptive,-19.28536724,0.005075921229,low runtime and lower proxy-objective hypervolume
