scenario,BiLo-NSGA,NSGA-II,Pareto Local Search,bilo_vs_nsgaii_mean_difference,bilo_vs_nsgaii_holm_p,bilo_vs_nsgaii_holm_significant,bilo_vs_pareto_local_search_mean_difference,bilo_vs_pareto_local_search_holm_p,bilo_vs_pareto_local_search_holm_significant,comparison_scope
budget_constrained_selection,0.1618032842,0.1701556165,0.1046777635,-0.0083523324,0.0208915174,1,0.0571255206,2.98e-08,1,separate secondary 16-contrast paired family
reliability_prioritized_review,0.1722606617,0.1701452077,0.1157949373,0.002115454,5.0582e-05,1,0.0564657243,2.98e-08,1,separate secondary 16-contrast paired family
renewable_accommodation_review,0.174577016,0.1757844331,0.1246096332,-0.0012074171,0.8555355519,0,0.0499673828,2.98e-08,1,separate secondary 16-contrast paired family
dependency_constrained_review,0.1723059469,0.1702680462,0.1155928432,0.0020379007,4.619e-07,1,0.0567131037,2.98e-08,1,separate secondary 16-contrast paired family
local_move_explainability,0.1737070783,0.173954874,0.1217724037,-0.0002477958,0.1283218358,0,0.0519346745,2.98e-08,1,separate secondary 16-contrast paired family
ranking_robustness,0.1742390033,0.173932135,0.1150089532,0.0003068683,0.1974742934,0,0.0592300502,2.98e-08,1,separate secondary 16-contrast paired family
budget_sensitivity,0.1571612772,0.1660198135,0.099561895,-0.0088585363,0.0071545318,1,0.0575993822,2.98e-08,1,separate secondary 16-contrast paired family
project_pool_scalability,0.1817793113,0.1774311168,0.1303868088,0.0043481945,6.0759e-06,1,0.0513925025,2.98e-08,1,separate secondary 16-contrast paired family
pooled_descriptive_mean,0.1709791974,0.1722114053,0.1159256547,,,,,,,separate secondary 16-contrast paired family
