scenario,BiLo-NSGA,NSGA-II,Pareto Local Search,bilo_vs_nsgaii_mean_difference,bilo_vs_nsgaii_holm_p,bilo_vs_nsgaii_holm_significant,bilo_vs_pareto_local_search_mean_difference,bilo_vs_pareto_local_search_holm_p,bilo_vs_pareto_local_search_holm_significant,comparison_scope
budget_constrained_selection,0.148988324,0.1698729529,0.1051683545,-0.0208846289,2.98e-08,1,0.0438199695,2.98e-08,1,primary 16-contrast paired family
reliability_prioritized_review,0.1663357259,0.1700603428,0.1157406905,-0.0037246169,1,0,0.0505950354,2.98e-08,1,primary 16-contrast paired family
renewable_accommodation_review,0.1674545668,0.1756890468,0.1253748103,-0.0082344801,5.0582e-05,1,0.0420797564,2.98e-08,1,primary 16-contrast paired family
dependency_constrained_review,0.1684025363,0.1702424934,0.1159548432,-0.0018399572,1,0,0.0524476931,2.98e-08,1,primary 16-contrast paired family
local_move_explainability,0.1635681497,0.1741888588,0.1218979195,-0.0106207091,0.8019536883,0,0.0416702303,2.98e-08,1,primary 16-contrast paired family
ranking_robustness,0.1675546117,0.1738947225,0.1150712527,-0.0063401108,0.0261143968,1,0.052483359,2.98e-08,1,primary 16-contrast paired family
budget_sensitivity,0.1440448662,0.165871653,0.1001585838,-0.0218267867,4.042e-07,1,0.0438862824,2.98e-08,1,primary 16-contrast paired family
project_pool_scalability,0.1757797626,0.1772306125,0.1307085748,-0.0014508499,1,0,0.0450711878,2.98e-08,1,primary 16-contrast paired family
pooled_descriptive_mean,0.1627660679,0.1721313353,0.1162593787,,,,,,,primary 16-contrast paired family
