variant,parent,correct,n,accuracy,changed_choices_vs_parent,gains_vs_parent,losses_vs_parent,net_correct_vs_parent
validation_original,,99,180,0.55,0,0,0,0
validation_no_query_features,validation_original,76,180,0.4222222222222222,64,2,25,-23
validation_no_shape,validation_original,99,180,0.55,0,0,0,0
validation_no_order,validation_original,77,180,0.42777777777777776,49,1,23,-22
validation_no_value,validation_original,99,180,0.55,14,1,1,0
complete_original,,100,180,0.5555555555555556,0,0,0,0
complete_no_query_features,complete_original,77,180,0.42777777777777776,63,2,25,-23
complete_no_constructed_state,complete_original,99,180,0.55,1,0,1,-1
complete_no_schema_grounding,complete_original,100,180,0.5555555555555556,0,0,0,0
