paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p6,dependency_constrained_review,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,ablation,30,0.17282144,0.17130272,0.00151872,572.00,0.0724456,0.161056,False
p6,dependency_constrained_review,BiLo-NSGA vs Ablation-NoForwardSearch,ablation,30,0.17282144,0.17118570,0.00163575,771.00,2.15403e-06,1.50782e-05,True
p6,dependency_constrained_review,BiLo-NSGA vs Ablation-RandomMutationOnly,ablation,30,0.17282144,0.17173970,0.00108174,688.00,0.000445919,0.00267551,True
p6,dependency_constrained_review,BiLo-NSGA vs Ablation-ShallowLocalSearch,ablation,30,0.17282144,0.17218916,0.00063228,641.00,0.00485602,0.0242801,True
p6,dependency_constrained_review,BiLo-NSGA vs Ablation-WeightedRankingOnly,ablation,30,0.17282144,0.03231690,0.14050454,900.00,1.21178e-12,1.81767e-11,True
p6,dependency_constrained_review,BiLo-NSGA vs Greedy BCR,baseline,30,0.17282144,0.03242843,0.14039301,900.00,1.21178e-12,1.81767e-11,True
p6,dependency_constrained_review,BiLo-NSGA vs MOEA/D,baseline,30,0.17282144,0.00324524,0.16957620,900.00,1.21178e-12,1.81767e-11,True
p6,dependency_constrained_review,BiLo-NSGA vs NSGA-II,baseline,30,0.17282144,0.17042527,0.00239617,829.00,2.19474e-08,1.75579e-07,True
p6,dependency_constrained_review,BiLo-NSGA vs NSGA-III,baseline,30,0.17282144,0.16858605,0.00423540,862.00,1.17374e-09,1.05636e-08,True
p6,dependency_constrained_review,BiLo-NSGA vs Random Feasible,baseline,30,0.17282144,0.07203082,0.10079063,900.00,3.01986e-11,3.32185e-10,True
p6,local_move_explainability,BiLo-NSGA vs AHP-TOPSIS,baseline,30,0.17626289,0.13872715,0.03753574,900.00,1.21178e-12,1.81767e-11,True
p6,local_move_explainability,BiLo-NSGA vs Ablation-LooseBudget,ablation,30,0.17626289,0.16667787,0.00958502,832.00,1.69795e-08,1.52816e-07,True
p6,local_move_explainability,BiLo-NSGA vs Ablation-LowDependencyDensity,ablation,30,0.17626289,0.17672419,-0.00046131,416.00,0.620404,1,False
p6,local_move_explainability,BiLo-NSGA vs Ablation-NoBackwardSearch,ablation,30,0.17626289,0.17661280,-0.00034992,467.00,0.807275,1,False
p6,local_move_explainability,BiLo-NSGA vs Ablation-NoDependencyMoves,ablation,30,0.17626289,0.17680868,-0.00054580,456.00,0.935192,1,False
p6,local_move_explainability,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,ablation,30,0.17626289,0.17441403,0.00184885,547.00,0.153667,0.614669,False
p6,local_move_explainability,BiLo-NSGA vs Ablation-NoForwardSearch,ablation,30,0.17626289,0.17445283,0.00181006,743.00,1.52917e-05,0.000107042,True
p6,local_move_explainability,BiLo-NSGA vs Ablation-RandomMutationOnly,ablation,30,0.17626289,0.17492402,0.00133887,732.00,3.15727e-05,0.000189436,True
p6,local_move_explainability,BiLo-NSGA vs Ablation-ShallowLocalSearch,ablation,30,0.17626289,0.17608524,0.00017765,581.00,0.0536853,0.268426,False
p6,local_move_explainability,BiLo-NSGA vs Ablation-WeightedRankingOnly,ablation,30,0.17626289,0.03649441,0.13976848,900.00,1.21178e-12,1.81767e-11,True
p6,local_move_explainability,BiLo-NSGA vs Greedy BCR,baseline,30,0.17626289,0.04164481,0.13461808,900.00,1.21178e-12,1.81767e-11,True
p6,local_move_explainability,BiLo-NSGA vs MOEA/D,baseline,30,0.17626289,0.03105460,0.14520829,900.00,2.59215e-11,3.11058e-10,True
p6,local_move_explainability,BiLo-NSGA vs NSGA-II,baseline,30,0.17626289,0.17239072,0.00387217,777.00,1.38525e-06,1.1082e-05,True
p6,local_move_explainability,BiLo-NSGA vs NSGA-III,baseline,30,0.17626289,0.16309747,0.01316542,847.00,4.57257e-09,4.57257e-08,True
p6,local_move_explainability,BiLo-NSGA vs Random Feasible,baseline,30,0.17626289,0.06779637,0.10846651,900.00,3.01986e-11,3.32185e-10,True
p6,project_pool_scalability,BiLo-NSGA vs AHP-TOPSIS,baseline,30,0.18305815,0.13928321,0.04377494,900.00,1.21178e-12,1.81767e-11,True
p6,project_pool_scalability,BiLo-NSGA vs Ablation-LooseBudget,ablation,30,0.18305815,0.17648766,0.00657050,894.00,5.49405e-11,3.84584e-10,True
p6,project_pool_scalability,BiLo-NSGA vs Ablation-LowDependencyDensity,ablation,30,0.18305815,0.18277789,0.00028026,440.00,0.888303,1,False
p6,project_pool_scalability,BiLo-NSGA vs Ablation-NoBackwardSearch,ablation,30,0.18305815,0.18236692,0.00069124,471.00,0.761828,1,False
p6,project_pool_scalability,BiLo-NSGA vs Ablation-NoDependencyMoves,ablation,30,0.18305815,0.18242598,0.00063217,495.00,0.510598,1,False
p6,project_pool_scalability,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,ablation,30,0.18305815,0.18301702,0.00004114,412.00,0.579294,1,False
p6,project_pool_scalability,BiLo-NSGA vs Ablation-NoForwardSearch,ablation,30,0.18305815,0.17883428,0.00422387,896.00,4.50432e-11,3.60346e-10,True
p6,project_pool_scalability,BiLo-NSGA vs Ablation-RandomMutationOnly,ablation,30,0.18305815,0.17894519,0.00411296,890.00,8.15274e-11,4.89165e-10,True
p6,project_pool_scalability,BiLo-NSGA vs Ablation-ShallowLocalSearch,ablation,30,0.18305815,0.18197581,0.00108235,708.00,0.000140669,0.000703343,True
p6,project_pool_scalability,BiLo-NSGA vs Ablation-WeightedRankingOnly,ablation,30,0.18305815,0.03468536,0.14837279,900.00,1.21178e-12,1.81767e-11,True
p6,project_pool_scalability,BiLo-NSGA vs Greedy BCR,baseline,30,0.18305815,0.04663802,0.13642013,900.00,1.21178e-12,1.81767e-11,True
