paper,experiment_id,method,method_role,n_seeds,pool_size,n_built,n_withdrawn,n_unresolved,n_deferred,outcome_capture_strict,outcome_capture_broad,pointbiserial_r_broad,pointbiserial_p_broad,pointbiserial_r_strict,pointbiserial_p_strict,mannwhitney_p_broad,mannwhitney_p_strict,withdrawn_capture,deferred_selection_share,mean_portfolio_size,source_status
p6,reliability_prioritized_review,BiLo-NSGA,proposed,10,1062,811,17,199,35,1.004160,1.064185,0.077622,0.012836,0.018517,0.594672,0.055006,0.648130,0.801549,0.008203,243.8,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,Ablation-LowDependencyDensity,ablation,10,1062,811,17,199,35,1.004057,1.063420,0.075838,0.015061,0.017832,0.608377,0.029608,0.754004,0.806470,0.010178,235.8,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,Ablation-LooseBudget,ablation,10,1062,811,17,199,35,1.003481,1.061864,0.078975,0.011349,0.016350,0.638499,0.021325,0.519501,0.833928,0.007834,255.3,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,Ablation-NoForwardSearch,ablation,10,1062,811,17,199,35,1.010537,1.058809,0.076315,0.014435,0.049708,0.152988,0.019524,0.126720,0.497316,0.009081,187.2,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,Ablation-RandomMutationOnly,ablation,10,1062,811,17,199,35,1.009337,1.044198,0.102971,0.000951,0.079510,0.022134,0.001156,0.015929,0.554588,0.020788,182.8,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,Pareto Local Search,baseline,10,1062,811,17,199,35,1.009800,1.040206,0.059890,0.055025,0.052571,0.130664,0.024484,0.068309,0.532499,0.016081,167.9,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,Greedy BCR,baseline,10,1062,811,17,199,35,1.002248,1.032783,0.073958,0.017765,0.018738,0.590280,0.017845,0.590391,0.892776,0.018272,602.0,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,MOEA/D,baseline,10,1062,811,17,199,35,1.009936,1.027427,0.039144,0.210067,0.051287,0.140344,0.189473,0.156494,0.525981,0.023356,115.6,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,NSGA-II,baseline,10,1062,811,17,199,35,1.006506,1.014163,0.031870,0.307570,0.052312,0.132575,0.333885,0.153716,0.689641,0.026592,142.9,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,NSGA-III,baseline,10,1062,811,17,199,35,0.999197,1.012669,0.026693,0.392813,-0.006064,0.861683,0.378620,0.858996,1.038304,0.024710,129.5,public_miso_mtep16_outcome_backtest_v1
p6,reliability_prioritized_review,Random Feasible,baseline,10,1062,811,17,199,35,0.997611,0.995720,-0.008425,0.787421,-0.016786,0.629568,0.805098,0.513201,1.113985,0.033597,101.2,public_miso_mtep16_outcome_backtest_v1
