scope,comparison,diff,ci95_low,ci95_high,p_raw,p_holm
within_model:qwen,B0_DIRECT - B1_DECOMP,0.076,0.043032236030319054,0.11206943918150815,0.0,0.0
within_model:qwen,B0_DIRECT - B2_SCHEMA_SELECT,-0.016,-0.051490266322854944,0.02161519152532093,0.4328,0.4328
within_model:qwen,B0_DIRECT - B3_EXEC_REPAIR,0.03,-0.0018661108300306374,0.060391061785497156,0.068,0.136
within_model:qwen,B1_DECOMP - B2_SCHEMA_SELECT,-0.092,-0.13333333333333333,-0.053406998158379376,0.0,0.0
within_model:qwen,B1_DECOMP - B3_EXEC_REPAIR,-0.046,-0.09394707724425887,-0.005892760716460454,0.0276,0.1104
within_model:qwen,B2_SCHEMA_SELECT - B3_EXEC_REPAIR,0.046,0.0038015639572422707,0.08757674639867989,0.0398,0.1194
within_model:granite,B0_DIRECT - B1_DECOMP,-0.006,-0.043568577730769574,0.03106903991370009,0.7998,1.0
within_model:granite,B0_DIRECT - B2_SCHEMA_SELECT,0.002,-0.03794713494575045,0.04228390795251259,0.9516,1.0
within_model:granite,B0_DIRECT - B3_EXEC_REPAIR,-0.032,-0.06653225806451613,0.004237965740305725,0.0962,0.481
within_model:granite,B1_DECOMP - B2_SCHEMA_SELECT,0.008,-0.04280375227270731,0.06012208883786989,0.785,1.0
within_model:granite,B1_DECOMP - B3_EXEC_REPAIR,-0.026,-0.08366575538848789,0.03193810119873245,0.3878,1.0
within_model:granite,B2_SCHEMA_SELECT - B3_EXEC_REPAIR,-0.034,-0.06525573192239859,-0.007042253521126761,0.0132,0.07919999999999999
between_models:qwen-granite,B0_DIRECT,0.174,0.13261568201039023,0.2078450786255096,0.0,0.0
between_models:qwen-granite,B1_DECOMP,0.092,0.03999778270509978,0.14342319853839292,0.0008,0.0008
between_models:qwen-granite,B2_SCHEMA_SELECT,0.192,0.13808439954897447,0.2490638444509419,0.0,0.0
between_models:qwen-granite,B3_EXEC_REPAIR,0.112,0.06274509803921569,0.16568104342670817,0.0,0.0
