model,method,n,ex_mean,ci95_low,ci95_high
qwen,B0_DIRECT,500,0.378,0.2844991445126598,0.47013997746644454
qwen,B1_DECOMP,500,0.302,0.20463581369326528,0.4021118031765804
qwen,B2_SCHEMA_SELECT,500,0.394,0.27963919568778733,0.5141713693423932
qwen,B3_EXEC_REPAIR,500,0.348,0.25053067381830374,0.4504864588656106
granite,B0_DIRECT,500,0.204,0.12694813260236423,0.2829788251088239
granite,B1_DECOMP,500,0.21,0.13054148301788956,0.2933124122875409
granite,B2_SCHEMA_SELECT,500,0.202,0.13655441092099488,0.2719836400817996
granite,B3_EXEC_REPAIR,500,0.236,0.15948202222920432,0.319232791586998
