run_namespace,cap,horizon_hours,selection_objective,condition_id,method_role,architecture,retrieval_space,k_neighbors,alpha_head,checkpoint_epoch,ridge_lambda,seed_index,seed,execution_status,scientific_support_status,failure_code,sanitized_exception_class,parameter_count,rank_eligible,training_runtime_s,condition_runtime_s,selection_loss,detection_threshold,threshold_status,onset_targeted_claim_valid,curtailment_mae,curtailment_rmse,event_f1,event_precision,event_recall,onset_f1,onset_precision,onset_recall,onset_mae,stress_subset_mae,n_fit,n_selection,n_calibration,n_test,n_onsets_selection,n_onsets_calibration,n_onsets_test,n_events_test
p1_ieee_access_upgrade_v2,0.70,1,not_applicable,DirectPolicyTransform-Privileged,privileged_audit,,,,,,,deterministic,deterministic,completed,onset_diagnostic_only_no_pretest_support,,,0,False,0,0.000311399926,,0.02,fallback_no_positive_onsets,false,0,0,1,1,1,0.333333333333,0.2,1,0,0,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,not_applicable,Persistence,naive_baseline,,,,,,,deterministic,deterministic,completed,onset_diagnostic_only_no_pretest_support,,,0,True,0,0.000154600013,,0.02,fallback_no_positive_onsets,false,0.00690794195226,0.0239618849157,0.769736842105,0.769736842105,0.769736842105,0,0,0,0.0675322458255,0.0245880406808,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,not_applicable,Seasonal-24h,naive_baseline,,,,,,,deterministic,deterministic,completed,onset_diagnostic_only_no_pretest_support,,,0,True,0,0.000141800032,,0.02,fallback_no_positive_onsets,false,0.0203666184332,0.0593524295402,0.342105263158,0.342105263158,0.342105263158,0.10650887574,0.0640569395018,0.315789473684,0.0704356697351,0.0551652762639,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,mae,Ridge,trained_baseline,linear,,,,,0.1,deterministic,deterministic,completed,onset_diagnostic_only_no_pretest_support,,,336,True,0,0.1254273,0.0147568560157,0.02,fallback_no_positive_onsets,false,0.0176835201894,0.0354673120622,0.376963350785,0.923076923077,0.236842105263,0.124575311438,0.0665859564165,0.964912280702,0.0379286643344,0.0502029686077,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,onset_f1,Ridge,trained_baseline,linear,,,,,1e-06,deterministic,deterministic,completed,onset_diagnostic_only_no_pretest_support,,,336,True,0,0.0431167,-0,0.02,fallback_no_positive_onsets,false,0.0203672886692,0.0511172399203,0.464454976303,0.830508474576,0.322368421053,0.111627906977,0.0597758405978,0.842105263158,0.0448051373343,0.0587984631404,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,mae,gru_head,architecture_head,GRU,,,,15,,0,11,completed,onset_diagnostic_only_no_pretest_support,,,8257,True,0.561035,0.0112967001,0.00644219129,0.02,fallback_no_positive_onsets,false,0.0129444018887,0.028297061172,0.674796747967,0.882978723404,0.546052631579,0.158154859967,0.0872727272727,0.842105263158,0.0418722032457,0.036913096151,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,mae,lstm_head,architecture_head,LSTM,,,,20,,0,11,completed,onset_diagnostic_only_no_pretest_support,,,10993,True,0.5044583,0.0124858,0.0044910298711,0.02,fallback_no_positive_onsets,false,0.00919217003716,0.0231754335151,0.725868725869,0.878504672897,0.618421052632,0.153846153846,0.0883116883117,0.59649122807,0.0481973722577,0.0271977558877,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,mae,dlinear_head,architecture_head,DLinear,,,,20,,0,11,completed,onset_diagnostic_only_no_pretest_support,,,106,True,0.4050043,0.00362450001,0.0143994266561,0.02,fallback_no_positive_onsets,false,0.0247635492749,0.0494206061171,0,0,0,0.065641025641,0.0348583877996,0.561403508772,0.0500070757083,0.0581340199447,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,mae,tcn_head,architecture_head,TCN,,,,15,,0,11,completed,onset_diagnostic_only_no_pretest_support,,,28273,True,0.9565369,0.0170119,0.00484866470098,0.02,fallback_no_positive_onsets,false,0.00901808300979,0.0242997509665,0.677290836653,0.858585858586,0.559210526316,0.184466019417,0.107042253521,0.666666666667,0.0486342883284,0.0267518983463,4332,875,875,2627,0,0,57,152
p1_ieee_access_upgrade_v2,0.70,1,mae,raw_k4_retrieval,attribution_control,none,raw,4,0.0,,,0,11,completed,onset_diagnostic_only_no_pretest_support,,,0,True,0,0.1977148,,0.02,fallback_no_positive_onsets,false,0.0122470620067,0.0370733005772,0.520325203252,0.68085106383,0.421052631579,0.151515151515,0.0884955752212,0.526315789474,0.0496224934351,0.0409092565959,4332,875,875,2627,0,0,57,152
