run_namespace,cap,horizon_hours,architecture,seed_index,seed,parameter_count,epochs,batch_size,checkpoint_epochs,execution_status,failure_code,sanitized_exception_class,training_runtime_s
p1_ieee_access_upgrade_v2,0.70,1,LSTM,6,97,10993,20,256,5|10|15|20,completed,,,0.5468865
p1_ieee_access_upgrade_v2,0.70,1,DLinear,6,97,106,20,256,5|10|15|20,completed,,,0.3812251
p1_ieee_access_upgrade_v2,0.70,1,TCN,6,97,28273,20,256,5|10|15|20,completed,,,0.8717755
p1_ieee_access_upgrade_v2,0.70,1,GRU,7,109,8257,20,256,5|10|15|20,completed,,,0.5141361
p1_ieee_access_upgrade_v2,0.70,1,LSTM,7,109,10993,20,256,5|10|15|20,completed,,,0.5306178
p1_ieee_access_upgrade_v2,0.70,1,DLinear,7,109,106,20,256,5|10|15|20,completed,,,0.3743208
p1_ieee_access_upgrade_v2,0.70,1,TCN,7,109,28273,20,256,5|10|15|20,completed,,,0.8110532
p1_ieee_access_upgrade_v2,0.70,1,GRU,8,127,8257,20,256,5|10|15|20,completed,,,0.5254777
p1_ieee_access_upgrade_v2,0.70,1,LSTM,8,127,10993,20,256,5|10|15|20,completed,,,0.4996357
p1_ieee_access_upgrade_v2,0.70,1,DLinear,8,127,106,20,256,5|10|15|20,completed,,,0.3886163
p1_ieee_access_upgrade_v2,0.70,1,TCN,8,127,28273,20,256,5|10|15|20,completed,,,0.8613216
p1_ieee_access_upgrade_v2,0.70,1,GRU,9,139,8257,20,256,5|10|15|20,completed,,,0.5568613
p1_ieee_access_upgrade_v2,0.70,1,LSTM,9,139,10993,20,256,5|10|15|20,completed,,,0.5581128
p1_ieee_access_upgrade_v2,0.70,1,DLinear,9,139,106,20,256,5|10|15|20,completed,,,0.4544699
p1_ieee_access_upgrade_v2,0.70,1,TCN,9,139,28273,20,256,5|10|15|20,completed,,,0.9015236
p1_ieee_access_upgrade_v2,0.70,24,GRU,0,11,8257,20,256,5|10|15|20,completed,,,0.5400961
p1_ieee_access_upgrade_v2,0.70,24,LSTM,0,11,10993,20,256,5|10|15|20,completed,,,0.5246933
p1_ieee_access_upgrade_v2,0.70,24,DLinear,0,11,106,20,256,5|10|15|20,completed,,,0.4544171
p1_ieee_access_upgrade_v2,0.70,24,TCN,0,11,28273,20,256,5|10|15|20,completed,,,0.9214577
p1_ieee_access_upgrade_v2,0.70,24,GRU,1,23,8257,20,256,5|10|15|20,completed,,,0.5463129
p1_ieee_access_upgrade_v2,0.70,24,LSTM,1,23,10993,20,256,5|10|15|20,completed,,,0.546527
p1_ieee_access_upgrade_v2,0.70,24,DLinear,1,23,106,20,256,5|10|15|20,completed,,,0.4559669
p1_ieee_access_upgrade_v2,0.70,24,TCN,1,23,28273,20,256,5|10|15|20,completed,,,0.9380929
p1_ieee_access_upgrade_v2,0.70,24,GRU,2,47,8257,20,256,5|10|15|20,completed,,,0.5798826
p1_ieee_access_upgrade_v2,0.70,24,LSTM,2,47,10993,20,256,5|10|15|20,completed,,,0.6208993
p1_ieee_access_upgrade_v2,0.70,24,DLinear,2,47,106,20,256,5|10|15|20,completed,,,0.4700766
p1_ieee_access_upgrade_v2,0.70,24,TCN,2,47,28273,20,256,5|10|15|20,completed,,,1.0102567
p1_ieee_access_upgrade_v2,0.70,24,GRU,3,59,8257,20,256,5|10|15|20,completed,,,0.5936393
p1_ieee_access_upgrade_v2,0.70,24,LSTM,3,59,10993,20,256,5|10|15|20,completed,,,0.6140813
p1_ieee_access_upgrade_v2,0.70,24,DLinear,3,59,106,20,256,5|10|15|20,completed,,,0.464321
p1_ieee_access_upgrade_v2,0.70,24,TCN,3,59,28273,20,256,5|10|15|20,completed,,,1.0206171
p1_ieee_access_upgrade_v2,0.70,24,GRU,4,71,8257,20,256,5|10|15|20,completed,,,0.5640607
