family_index,backbone_or_modifier,effect,estimate,composition_sensitivity_low,composition_sensitivity_high,cluster_randomization_p_raw,cluster_n,question_n,randomization_samples,bootstrap_samples,seed,holm_family_size,cluster_randomization_p_holm
1,qwen,hint,-0.08333333333333333,-0.24757281553398058,0.06060606060606061,0.7508624913750862,12,66,100000,20000,20260805,9,1.0
2,qwen,compact,-0.007575757575757576,-0.25,0.39759036144578314,1.0,12,66,100000,20000,20260805,9,1.0
3,qwen,interaction,-0.13636363636363635,-0.4642857142857143,0.17073170731707318,1.0,12,66,100000,20000,20260805,9,1.0
4,granite,hint,-0.11363636363636363,-0.2532467532467532,0.0,0.5004549954500455,12,66,100000,20000,20260805,9,1.0
5,granite,compact,0.03787878787878788,-0.16216216216216217,0.19298245614035087,1.0,12,66,100000,20000,20260805,9,1.0
6,granite,interaction,0.16666666666666666,0.0,0.41509433962264153,1.0,12,66,100000,20000,20260805,9,1.0
7,granite_minus_qwen,hint,-0.030303030303030304,-0.08333333333333333,0.021739130434782608,0.4979750202497975,12,66,100000,20000,20260805,9,1.0
8,granite_minus_qwen,compact,0.045454545454545456,-0.5526315789473685,0.44642857142857145,0.6236737632623673,12,66,100000,20000,20260805,9,1.0
9,granite_minus_qwen,interaction,0.30303030303030304,-0.17142857142857143,0.8780487804878049,1.0,12,66,100000,20000,20260805,9,1.0
