subset,method,method_role,mean_dispatch_cost_index,mean_constraint_violation_rate,mean_renewable_curtailment_rate,mean_topology_risk_proxy,mean_retrieval_hit_rate,composite_dispatch_score,runs
all,DSTAR-GRU,proposed,0.48906212,0.00010113,0.00013238,0.34126398,0.64609375,0.73965420,480
all,Renewable-First ED,baseline,0.48937647,0.00008614,0.00044631,0.34131332,0.00000000,0.74024403,480
all,Ablation-NoTopology,ablation,0.49035386,0.00008614,0.00146440,0.34160654,0.64609375,0.74228760,480
all,Ablation-SmallBank,ablation,0.49124499,0.00008614,0.00242318,0.34187387,0.15989583,0.74416325,480
all,Ablation-LSTMEncoder,ablation,0.49180205,0.00008614,0.00302890,0.34204099,0.64609375,0.74533893,480
all,Ablation-NoSiamese,ablation,0.49247881,0.00008614,0.00377218,0.34224402,0.00000000,0.74677079,480
all,CNN-LSTM Proxy,baseline,0.49418562,0.00008614,0.00567267,0.34275606,0.00000000,0.75039592,480
all,Ablation-NoRetrievalBank,ablation,0.49418562,0.00008614,0.00567267,0.34275606,0.00000000,0.75039592,480
all,GRU-Direct Proxy,baseline,0.49636631,0.00008614,0.00813481,0.34341027,0.00000000,0.75504976,480
all,PSO Dispatch Proxy,baseline,0.50150390,0.00000000,0.01401540,0.34469313,0.00000000,0.76572147,480
all,Ablation-SingleObjective,ablation,0.50150390,0.00000000,0.01401540,0.34469313,0.64609375,0.76572147,480
all,GA Dispatch Proxy,baseline,0.50470581,0.00000000,0.01776406,0.34565371,0.00000000,0.77266190,480
all,Reserve-Aware ED,baseline,0.51248696,0.00000000,0.02708703,0.34798805,0.00000000,0.78971320,480
all,Merit-Order ED,baseline,0.51706879,0.00000000,0.03270154,0.34936260,0.00000000,0.79987179,480
high_renewable,DSTAR-GRU,proposed,0.18907667,0.00040117,0.00052514,0.33774322,0.83161157,0.28523862,121
high_renewable,Renewable-First ED,baseline,0.19032365,0.00034171,0.00177049,0.33793893,0.00000000,0.28729632,121
high_renewable,Ablation-NoTopology,ablation,0.19420093,0.00034171,0.00580921,0.33910212,0.83161157,0.29403700,121
high_renewable,Ablation-SmallBank,ablation,0.19773597,0.00034171,0.00961261,0.34016263,0.25929752,0.30023036,121
high_renewable,Ablation-LSTMEncoder,ablation,0.19994580,0.00034171,0.01201547,0.34082558,0.83161157,0.30412076,121
high_renewable,Ablation-NoSiamese,ablation,0.20263046,0.00034171,0.01496402,0.34163097,0.00000000,0.30886719,121
high_renewable,CNN-LSTM Proxy,baseline,0.20940129,0.00034171,0.02250316,0.34366222,0.00000000,0.32093101,121
