horizon_hours,comparison,metric,n_pairs,mean_paired_difference,median_paired_difference,mean_diff_ci_low,mean_diff_ci_high,paired_sign_balance,exact_signflip_p,p_holm_paired_sensitivity
24,DSTAR-GRU vs Ablation-NoRetrievalBank,onset_mae,10,0.0010021490000000008,0.0008529950000000022,-0.0002076821249999964,0.002292471999999997,0.2,0.181640625,0.7265625
24,DSTAR-GRU vs Ablation-NoRetrievalBank,onset_f1,10,-0.030183800000000004,-0.02819300000000001,-0.0431377475,-0.017015837499999995,-0.8,0.00390625,0.0234375
24,DSTAR-GRU vs Ablation-NoSiamese,curtailment_mae,10,0.0010794520000000011,0.001094775000000001,0.0009298826000000015,0.0012238941250000016,1.0,0.001953125,0.017578125
24,DSTAR-GRU vs Ablation-NoSiamese,onset_mae,10,0.004064049999999997,0.0041276199999999985,0.0035284407499999947,0.0045732452499999965,1.0,0.001953125,0.017578125
24,DSTAR-GRU vs Ablation-NoSiamese,onset_f1,10,-0.048124299999999995,-0.049839999999999995,-0.05728808750000001,-0.0391240475,-1.0,0.001953125,0.017578125
24,DSTAR-GRU vs Ablation-NoTopology,curtailment_mae,10,0.00019618300000000046,0.00018335000000000053,-7.147934999999921e-05,0.0004448397750000008,0.4,0.193359375,0.38671875
24,DSTAR-GRU vs Ablation-NoTopology,onset_mae,10,-6.164099999999978e-05,-5.6364999999995724e-05,-0.0007453592749999971,0.000590449974999997,0.0,0.875,1.0
24,DSTAR-GRU vs Ablation-NoTopology,onset_f1,10,0.0015419000000000045,-0.00032950000000001034,-0.00842856749999999,0.011364680000000007,0.0,0.783203125,1.0
24,DSTAR-GRU vs Ablation-SmallBank,curtailment_mae,10,0.005198922,0.005214244999999999,0.005041056699999999,0.005339692225,1.0,0.001953125,0.017578125
24,DSTAR-GRU vs Ablation-SmallBank,onset_mae,10,-0.021575450000000013,-0.02151188000000001,-0.022124331500000014,-0.02106801335000001,-1.0,0.001953125,0.017578125
24,DSTAR-GRU vs Ablation-SmallBank,onset_f1,10,0.053931700000000006,0.05221600000000001,0.044823312500000004,0.06294987500000002,1.0,0.001953125,0.017578125
24,DSTAR-GRU vs DLinear,curtailment_mae,10,-0.007684787999999998,-0.007997244999999998,-0.008867119349999997,-0.0064717119499999995,-1.0,0.001953125,0.017578125
24,DSTAR-GRU vs DLinear,onset_mae,10,0.009504740999999999,0.008940570000000002,0.0066563472249999995,0.012329872149999994,1.0,0.001953125,0.017578125
24,DSTAR-GRU vs DLinear,onset_f1,10,0.011804500000000006,0.0050605000000000094,-0.005949184999999991,0.032228437500000005,0.2,0.291015625,0.873046875
24,DSTAR-GRU vs LSTM,curtailment_mae,10,-0.0014191399999999997,-0.0016649499999999984,-0.0019296508249999993,-0.00090681465,-1.0,0.001953125,0.017578125
24,DSTAR-GRU vs LSTM,onset_mae,10,0.0018012410000000007,0.0018412450000000052,-0.0004023439500000002,0.0037330463250000016,0.8,0.13671875,0.68359375
24,DSTAR-GRU vs LSTM,onset_f1,10,-0.034006999999999996,-0.0295845,-0.0453212775,-0.023143972499999995,-1.0,0.001953125,0.017578125
24,DSTAR-GRU vs MLP,curtailment_mae,10,-0.006098997,-0.00588062,-0.007603968700000001,-0.004768289800000001,-1.0,0.001953125,0.017578125
24,DSTAR-GRU vs MLP,onset_mae,10,0.008555213000000002,0.007569935,0.005977464475000003,0.011435462649999995,1.0,0.001953125,0.017578125
24,DSTAR-GRU vs MLP,onset_f1,10,-0.029583900000000007,-0.032855499999999996,-0.0452603375,-0.012246437500000039,-0.6,0.01171875,0.05859375
24,DSTAR-GRU vs TCN,curtailment_mae,10,-0.0016557849999999995,-0.0018412250000000002,-0.00304897575,-0.0001817801749999999,-0.4,0.0625,0.1875
24,DSTAR-GRU vs TCN,onset_mae,10,-0.00040348099999999997,-0.0003120499999999943,-0.003735966399999999,0.0029449417499999983,-0.2,0.84375,1.0
24,DSTAR-GRU vs TCN,onset_f1,10,-0.006033799999999999,-0.015602500000000005,-0.02617323249999999,0.017385752499999987,-0.4,0.626953125,1.0
