horizon_hours,metric,comparison,opponent_role,n,mean_proposed,mean_opponent,proposed_better,u_statistic,p_value,p_holm,significant_005_holm
1,onset_mae,DSTAR-GRU vs DLinear,baseline,10,0.04875569,0.04035899,False,100.00,0.000182672,0.00401878,True
1,onset_mae,DSTAR-GRU vs LSTM,baseline,10,0.04875569,0.04379054,False,92.00,0.00170625,0.0238875,True
1,onset_mae,DSTAR-GRU vs MLP,baseline,10,0.04875569,0.04866386,False,54.00,0.791337,1,False
1,onset_mae,DSTAR-GRU vs TCN,baseline,10,0.04875569,0.04874025,False,60.00,0.472676,1,False
1,onset_f1,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.17611390,0.18540850,False,20.00,0.0257481,0.283229,False
1,onset_f1,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.17611390,0.16309910,True,84.50,0.0101369,0.121642,False
1,onset_f1,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.17611390,0.08917200,True,100.00,6.38644e-05,0.00172434,True
1,onset_f1,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.17611390,0.18459730,False,21.50,0.0342262,0.31209,False
1,onset_f1,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.17611390,0.04245800,True,100.00,6.38644e-05,0.00172434,True
1,onset_f1,DSTAR-GRU vs DLinear,baseline,10,0.17611390,0.12214300,True,100.00,0.000182672,0.00401878,True
1,onset_f1,DSTAR-GRU vs LSTM,baseline,10,0.17611390,0.17351410,True,62.50,0.364166,1,False
1,onset_f1,DSTAR-GRU vs MLP,baseline,10,0.17611390,0.16230160,True,77.00,0.0451546,0.361237,False
1,onset_f1,DSTAR-GRU vs TCN,baseline,10,0.17611390,0.16516940,True,56.00,0.677585,1,False
24,curtailment_mae,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.02054281,0.02032465,False,67.00,0.212294,1,False
24,curtailment_mae,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.02054281,0.02195273,True,0.00,0.000182672,0.00383611,True
24,curtailment_mae,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.02054281,0.01946336,False,100.00,6.38644e-05,0.00172434,True
24,curtailment_mae,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.02054281,0.02034663,False,68.00,0.185877,1,False
24,curtailment_mae,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.02054281,0.01534389,False,100.00,6.38644e-05,0.00172434,True
24,curtailment_mae,DSTAR-GRU vs DLinear,baseline,10,0.02054281,0.02822760,True,0.00,0.000182672,0.00383611,True
24,curtailment_mae,DSTAR-GRU vs LSTM,baseline,10,0.02054281,0.02196195,True,6.00,0.00100798,0.0141117,True
24,curtailment_mae,DSTAR-GRU vs MLP,baseline,10,0.02054281,0.02664181,True,0.00,0.000182672,0.00383611,True
24,curtailment_mae,DSTAR-GRU vs TCN,baseline,10,0.02054281,0.02219860,True,25.00,0.0640221,0.768265,False
24,onset_mae,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.11082187,0.11111369,True,38.00,0.384673,1,False
24,onset_mae,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.11082187,0.10981972,False,62.00,0.384673,1,False
24,onset_mae,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.11082187,0.10675782,False,100.00,6.38644e-05,0.00172434,True
24,onset_mae,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.11082187,0.11088351,True,57.00,0.623176,1,False
24,onset_mae,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.11082187,0.13239732,True,0.00,6.38644e-05,0.00172434,True
24,onset_mae,DSTAR-GRU vs DLinear,baseline,10,0.11082187,0.10131713,False,98.00,0.000329839,0.00494758,True
24,onset_mae,DSTAR-GRU vs LSTM,baseline,10,0.11082187,0.10902063,False,73.00,0.088973,0.978703,False
24,onset_mae,DSTAR-GRU vs MLP,baseline,10,0.11082187,0.10226666,False,100.00,0.000182672,0.00383611,True
24,onset_mae,DSTAR-GRU vs TCN,baseline,10,0.11082187,0.11122535,True,50.00,1,1,False
24,onset_f1,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.17678870,0.16874680,True,61.00,0.427355,1,False
24,onset_f1,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.17678870,0.20697250,False,1.00,0.000246128,0.00393805,True
24,onset_f1,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.17678870,0.22491300,False,0.00,6.38644e-05,0.00172434,True
24,onset_f1,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.17678870,0.17524680,True,53.00,0.850107,1,False
24,onset_f1,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.17678870,0.12285700,True,100.00,6.38644e-05,0.00172434,True
24,onset_f1,DSTAR-GRU vs DLinear,baseline,10,0.17678870,0.16498420,True,57.00,0.623176,1,False
24,onset_f1,DSTAR-GRU vs LSTM,baseline,10,0.17678870,0.21079570,False,0.00,0.000182672,0.00383611,True
24,onset_f1,DSTAR-GRU vs MLP,baseline,10,0.17678870,0.20637260,False,14.00,0.00728456,0.0946992,False
24,onset_f1,DSTAR-GRU vs TCN,baseline,10,0.17678870,0.18282250,False,37.00,0.344704,1,False
