horizon_hours,metric,comparison,opponent_role,n,mean_proposed,mean_opponent,proposed_better,u_statistic,p_value,p_holm,significant_005_holm,mean_difference,mean_diff_ci_low,mean_diff_ci_high,rank_biserial_proposed_greater,ci_scope
1,onset_mae,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.04875569,0.04190934,False,100.0,0.000182672,0.00401878,True,0.006846348000000002,0.0057819911500000005,0.007895032200000018,1.0,pointwise_multiplicity_unadjusted
1,onset_mae,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.04875569,0.04880844,True,40.0,0.442901,1.0,False,-5.2747999999998296e-05,-0.0005298582500000004,0.0004570201000000027,-0.19999999999999996,pointwise_multiplicity_unadjusted
1,onset_mae,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.04875569,0.04743546,False,86.0,0.00728456,0.0946992,False,0.001320231000000005,0.0005734496250000027,0.002065514975000011,0.72,pointwise_multiplicity_unadjusted
1,onset_mae,DSTAR-GRU vs Ablation-SmallBank,ablation,10,0.04875569,0.06937456,True,0.0,6.38644e-05,0.00172434,True,-0.020618868,-0.021115547949999997,-0.020113332874999997,-1.0,pointwise_multiplicity_unadjusted
1,onset_mae,DSTAR-GRU vs DLinear,baseline,10,0.04875569,0.04035899,False,100.0,0.000182672,0.00401878,True,0.008396698000000008,0.006755586350000001,0.010141880925000003,1.0,pointwise_multiplicity_unadjusted
1,onset_mae,DSTAR-GRU vs LSTM,baseline,10,0.04875569,0.04379054,False,92.0,0.00170625,0.0238875,True,0.004965153,0.0033319697000000013,0.0063025191750000105,0.8400000000000001,pointwise_multiplicity_unadjusted
1,onset_mae,DSTAR-GRU vs MLP,baseline,10,0.04875569,0.04866386,False,54.0,0.791337,1.0,False,9.183500000000538e-05,-0.0022171689249999953,0.0021741677750000093,0.08000000000000007,pointwise_multiplicity_unadjusted
1,onset_mae,DSTAR-GRU vs TCN,baseline,10,0.04875569,0.04874025,False,60.0,0.472676,1.0,False,1.5439000000005976e-05,-0.002314413324999997,0.0019265989250000048,0.19999999999999996,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs Ablation-LSTMEncoder,ablation,10,0.1761139,0.1854085,False,20.0,0.0257481,0.283229,False,-0.009294600000000042,-0.015583349999999992,-0.003273134999999999,-0.6,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs Ablation-NoRetrievalBank,ablation,10,0.1761139,0.1630991,True,84.5,0.0101369,0.121642,False,0.013014799999999965,0.005712990000000023,0.020358607500000014,0.69,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs Ablation-NoSiamese,ablation,10,0.1761139,0.089172,True,100.0,6.38644e-05,0.00172434,True,0.08694189999999999,0.082177605,0.0914369675,1.0,pointwise_multiplicity_unadjusted
1,onset_f1,DSTAR-GRU vs Ablation-NoTopology,ablation,10,0.1761139,0.1845973,False,21.5,0.0342262,0.31209,False,-0.008483400000000002,-0.014166917500000004,-0.0029352375000000065,-0.5700000000000001,pointwise_multiplicity_unadjusted
