scenario,method,method_type,unique_runs,mean_compromise_cost_index,mean_compromise_reliability,mean_compromise_renewable,mean_compromise_risk,mean_portfolio_size,mean_full_front_hypervolume_context
benchmark_portfolio_optimization,AHP-TOPSIS,deterministic,1,0.9995756400,38.9416428000,0.0529675200,0.3438062700,14.0000000000,0.1338178600
benchmark_portfolio_optimization,Greedy BCR,deterministic,1,0.9787327600,2.6677777800,217.3103157900,0.1884000000,14.0000000000,0.0411081000
benchmark_portfolio_optimization,MOEA/D,stochastic_moea,30,0.0790774127,0.3440220677,17.7269882497,0.1819383177,1.1666666667,0.0252626187
benchmark_portfolio_optimization,NSGA-II,stochastic_moea,30,0.9403723893,26.2705526887,24.3844502563,0.2809118840,13.8333333333,0.1722395410
benchmark_portfolio_optimization,R-NSGA-II,stochastic_moea,30,0.9833959983,15.6296582637,76.0058228020,0.2241016940,14.2666666667,0.1270211057
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,30,0.9453158460,28.0848676153,48.3196035583,0.2877723067,14.8666666667,0.1744150290
benchmark_portfolio_optimization,Weighted Sum,deterministic,1,0.9702982800,3.1930325200,0.0000000000,0.4600000000,3.0000000000,0.0280125100
budget_ranking_stability,AHP-TOPSIS,deterministic,1,0.9447618900,38.5576800600,0.2108842400,0.3472634100,14.0000000000,0.1324814300
budget_ranking_stability,Greedy BCR,deterministic,1,0.9569024300,2.2866666700,194.9596421100,0.1884000000,12.0000000000,0.0380271800
budget_ranking_stability,MOEA/D,stochastic_moea,30,0.0953881270,0.2421372320,21.3345905240,0.1844000000,1.2000000000,0.0245985747
budget_ranking_stability,NSGA-II,stochastic_moea,30,0.9391327137,24.3712900303,18.6183648790,0.2872073170,12.3000000000,0.1695502857
budget_ranking_stability,R-NSGA-II,stochastic_moea,30,0.9843546963,13.9884060600,65.9696117087,0.2282576390,12.5000000000,0.1152196243
budget_ranking_stability,TRACE-MOEA,stochastic_moea,30,0.9307118800,25.9154607620,35.0818159827,0.2942388083,13.1000000000,0.1713914930
budget_ranking_stability,Weighted Sum,deterministic,1,0.9964811900,2.7381436300,61.2148105300,0.2970400000,5.0000000000,0.0334945600
distribution_project_review,AHP-TOPSIS,deterministic,1,0.9995756400,38.9416428000,0.0529675200,0.3438062700,14.0000000000,0.1338178600
distribution_project_review,Greedy BCR,deterministic,1,0.9498008200,38.4133682000,7.0611232400,0.3472634100,14.0000000000,0.1330997300
distribution_project_review,MOEA/D,stochastic_moea,30,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004720400
distribution_project_review,NSGA-II,stochastic_moea,30,0.9239435957,31.8329713537,1.1647312323,0.2986763293,14.1666666667,0.1651212730
distribution_project_review,R-NSGA-II,stochastic_moea,30,0.9532571313,22.0977177370,14.6265515197,0.2656045353,12.0000000000,0.1341345960
distribution_project_review,TRACE-MOEA,stochastic_moea,30,0.9039998667,32.6076850823,4.2695798587,0.3093896513,13.9333333333,0.1649053080
distribution_project_review,Weighted Sum,deterministic,1,0.9731410300,12.5059043600,13.9663320800,0.2393853100,7.0000000000,0.0819286800
preference_aware_support,AHP-TOPSIS,deterministic,1,0.9995756400,38.9416428000,0.0529675200,0.3438062700,14.0000000000,0.1338178600
preference_aware_support,Greedy BCR,deterministic,1,0.9787327600,2.6677777800,217.3103157900,0.1884000000,14.0000000000,0.0411081000
preference_aware_support,MOEA/D,stochastic_moea,30,0.0813100557,0.5297230253,17.5945611027,0.1925532707,1.2000000000,0.0245434037
preference_aware_support,NSGA-II,stochastic_moea,30,0.9476463783,26.0988433977,21.0502649657,0.2781944413,13.7000000000,0.1722851910
preference_aware_support,R-NSGA-II,stochastic_moea,30,0.9890113363,15.7600522350,66.6657105610,0.2282176303,13.8000000000,0.1271951007
preference_aware_support,TRACE-MOEA,stochastic_moea,30,0.9117023010,26.8363970070,47.5216929810,0.2872903470,14.3333333333,0.1751190130
preference_aware_support,Weighted Sum,deterministic,1,0.9702982800,3.1930325200,0.0000000000,0.4600000000,3.0000000000,0.0280125100
reliability_driven_review,AHP-TOPSIS,deterministic,1,0.9995756400,38.9416428000,0.0529675200,0.3438062700,14.0000000000,0.1338476800
reliability_driven_review,Greedy BCR,deterministic,1,0.9791120700,2.2477674300,23.1940800000,0.2207272700,11.0000000000,0.0359766000
reliability_driven_review,MOEA/D,stochastic_moea,30,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004720400
reliability_driven_review,NSGA-II,stochastic_moea,30,0.9414047337,28.2152414427,3.1931120960,0.3018166903,12.8333333333,0.1714354003
reliability_driven_review,R-NSGA-II,stochastic_moea,30,0.9803715270,17.5310553037,7.9256408373,0.2449666677,12.6333333333,0.1403134497
reliability_driven_review,TRACE-MOEA,stochastic_moea,30,0.9010624303,28.4348745103,5.4044807253,0.3008654957,13.9333333333,0.1722317857
reliability_driven_review,Weighted Sum,deterministic,1,0.9702982800,3.1930325200,0.0000000000,0.4600000000,3.0000000000,0.0280125100
renewable_accommodation_review,AHP-TOPSIS,deterministic,1,0.9633340900,12.5770034300,2.4326824700,0.1755625000,16.0000000000,0.1411475500
renewable_accommodation_review,Greedy BCR,deterministic,1,0.9787327600,2.6677777800,217.3103157900,0.1884000000,14.0000000000,0.0598621000
renewable_accommodation_review,MOEA/D,stochastic_moea,30,0.0830296513,0.6962280733,12.0770539973,0.1778666667,1.2666666667,0.0382896127
renewable_accommodation_review,NSGA-II,stochastic_moea,30,0.9103322707,10.1029311280,39.2296253173,0.1762739927,14.0333333333,0.1850489273
renewable_accommodation_review,R-NSGA-II,stochastic_moea,30,0.9667129883,2.9040119973,201.0471778953,0.1884000000,13.9666666667,0.0648849653
renewable_accommodation_review,TRACE-MOEA,stochastic_moea,30,0.8757682787,9.7083667907,46.0577275040,0.1764724820,13.7000000000,0.1864609527
renewable_accommodation_review,Weighted Sum,deterministic,1,0.9787327600,2.6677777800,217.3103157900,0.1884000000,14.0000000000,0.0598621000
traceability_evaluation,AHP-TOPSIS,deterministic,1,0.9995756400,38.9416428000,0.0529675200,0.3438062700,14.0000000000,0.1338178600
traceability_evaluation,Greedy BCR,deterministic,1,0.9787327600,2.6677777800,217.3103157900,0.1884000000,14.0000000000,0.0411081000
traceability_evaluation,MOEA/D,stochastic_moea,30,0.0677898833,0.3077726217,15.2847566707,0.1861433020,1.0000000000,0.0231579223
traceability_evaluation,NSGA-II,stochastic_moea,30,0.9360141467,26.2256545053,27.4059518770,0.2793712890,13.9333333333,0.1732463623
traceability_evaluation,R-NSGA-II,stochastic_moea,30,0.9880745123,16.0866791173,53.5628633120,0.2268457093,13.9000000000,0.1298469830
traceability_evaluation,TRACE-MOEA,stochastic_moea,30,0.9264694130,27.4655560870,45.5554417213,0.2883931097,14.6000000000,0.1752082280
traceability_evaluation,Weighted Sum,deterministic,1,0.9702982800,3.1930325200,0.0000000000,0.4600000000,3.0000000000,0.0280125100
