scenario,method,method_type,seed_index,matched_output_cardinality,compromise_rule,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,full_front_hypervolume_context,full_front_size_context,source_status
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,0,1,shared_minimum_normalized_objective_sum,0.95292848,25.20684495,89.75274129,0.27923950,15,0.17474130,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,1,1,shared_minimum_normalized_objective_sum,0.99267331,25.76543429,60.29284445,0.26856203,16,0.17678072,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,2,1,shared_minimum_normalized_objective_sum,0.99324331,26.92134338,24.52715493,0.26559953,16,0.17470364,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,3,1,shared_minimum_normalized_objective_sum,0.81119295,26.85172542,55.62652257,0.30768396,13,0.17792222,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,4,1,shared_minimum_normalized_objective_sum,0.97241741,31.93457148,34.71279737,0.28911191,16,0.17670099,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,5,1,shared_minimum_normalized_objective_sum,0.94270845,29.94111466,77.42981221,0.30326604,15,0.17294947,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,6,1,shared_minimum_normalized_objective_sum,0.91481643,23.35068608,3.12360540,0.28294112,12,0.17349798,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,7,1,shared_minimum_normalized_objective_sum,0.94542848,25.87182942,33.07987393,0.27446616,15,0.17446976,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,8,1,shared_minimum_normalized_objective_sum,0.79849261,26.19030695,41.31998961,0.29078404,13,0.17632170,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,9,1,shared_minimum_normalized_objective_sum,0.99878088,28.15478582,50.18710573,0.29344939,14,0.17524659,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,10,1,shared_minimum_normalized_objective_sum,0.97501225,29.45962151,40.54708457,0.27584322,16,0.17636758,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,11,1,shared_minimum_normalized_objective_sum,0.94600678,22.48793658,87.38643381,0.26080623,15,0.17625616,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,12,1,shared_minimum_normalized_objective_sum,0.86383707,30.43284566,48.66503637,0.31034218,14,0.17404881,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,13,1,shared_minimum_normalized_objective_sum,0.92033259,30.37944282,44.99825853,0.29793271,15,0.17539283,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,14,1,shared_minimum_normalized_objective_sum,0.98342507,20.70875502,60.91678313,0.25869187,13,0.16701043,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,15,1,shared_minimum_normalized_objective_sum,0.98713193,25.99876245,57.57630761,0.26606203,16,0.17164825,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,16,1,shared_minimum_normalized_objective_sum,0.91562052,30.64109914,39.99516168,0.29526604,15,0.16981963,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,17,1,shared_minimum_normalized_objective_sum,0.95222777,28.79573780,41.43356457,0.29023277,15,0.16941647,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,18,1,shared_minimum_normalized_objective_sum,0.99935708,28.78796519,65.69325509,0.28334322,16,0.17884891,40,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,19,1,shared_minimum_normalized_objective_sum,0.87007052,29.75055911,54.40207537,0.31147076,14,0.17199287,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,20,1,shared_minimum_normalized_objective_sum,0.97938190,31.18199056,51.26055637,0.29009941,16,0.17457867,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,21,1,shared_minimum_normalized_objective_sum,0.96397502,29.29682228,17.97190673,0.27433072,16,0.17580202,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,22,1,shared_minimum_normalized_objective_sum,0.98553019,28.77733496,57.56276357,0.27683072,16,0.17365670,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,23,1,shared_minimum_normalized_objective_sum,0.98633125,24.30472156,52.90563581,0.25180584,16,0.17640916,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,24,1,shared_minimum_normalized_objective_sum,0.99396878,33.07327651,67.71626817,0.30435560,16,0.17566396,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,25,1,shared_minimum_normalized_objective_sum,0.84304674,28.87351040,14.30390773,0.29119225,14,0.17469482,38,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,26,1,shared_minimum_normalized_objective_sum,0.97688776,30.73303216,45.89089853,0.28858691,16,0.17770914,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,27,1,shared_minimum_normalized_objective_sum,0.97422674,28.17945642,20.60000988,0.33894096,12,0.17274941,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,28,1,shared_minimum_normalized_objective_sum,0.95500431,30.58840122,53.56855637,0.30543937,15,0.17419582,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,TRACE-MOEA,stochastic_moea,29,1,shared_minimum_normalized_objective_sum,0.96541880,29.90611466,56.14119537,0.30649271,15,0.17285486,39,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,NSGA-II,stochastic_moea,0,1,shared_minimum_normalized_objective_sum,0.87037055,24.70203663,66.19080977,0.28114232,14,0.17366445,40,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,NSGA-II,stochastic_moea,1,1,shared_minimum_normalized_objective_sum,0.96101676,26.66135449,20.40294861,0.28061375,14,0.17118008,40,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,NSGA-II,stochastic_moea,2,1,shared_minimum_normalized_objective_sum,0.96336296,26.12531129,33.09801505,0.28519942,13,0.17103912,40,public_rts_simbench_nerc_project_review_v3_direct_family_controls
benchmark_portfolio_optimization,NSGA-II,stochastic_moea,3,1,shared_minimum_normalized_objective_sum,0.97096158,27.46195809,22.36550961,0.26408703,16,0.17628350,40,public_rts_simbench_nerc_project_review_v3_direct_family_controls
