method,method_role,runs,mean_hypervolume,std_hypervolume,mean_runtime_s,mean_repair_drop_records,mean_total_event_records,mean_position_cooccurrence,interpretation_scope,event_fields
TRACE-MOEA,proposed,210,0.1742474013,0.00634762855,0.1129952286,806.247619,1126.247619,0.9856882028,proposed integration,reported
Ablation-NoPreferenceRanking,ablation,210,0.1739561557,0.005637567289,0.1085098905,803.0666667,803.0666667,0.9661540269,direct preference-layer ablation,reported
Ablation-NoFeasibilityRepair,ablation,210,0.1730043361,0.006524913903,0.105657119,0,320,0.8646994573,direct repair ablation,reported
NSGA-II,baseline,210,0.1727038544,0.006423218578,0.1455613238,0,0,0,external baseline,not instrumented
