method,method_type,reported_clipped_ref1p1,reported_unclipped_ref1p1,expanded_unclipped_ref1p1,analytic_ref1p1,analytic_ref1p2,comparison_scope
TRACE-MOEA,shared_custom_moea,0.1742474015,0.1988178802,0.2131939506,0.03218095793,0.1188195134,descriptive bound/reference sensitivity
Ablation-NoPreferenceRanking,shared_custom_moea,0.1739561555,0.1961804417,0.2115217929,0.0317502663,0.1177794614,descriptive bound/reference sensitivity
AHP-TOPSIS,deterministic,0.1346783003,0.2081636704,0.226664916,0.005167553157,0.0280362446,descriptive bound/reference sensitivity
Greedy BCR,deterministic,0.05575570296,0.06196840766,0.09131481259,0.002663977143,0.01653770821,descriptive bound/reference sensitivity
Weighted Sum,deterministic,0.0410479095,0.0410479095,0.06971180404,0.001780705614,0.01225281623,descriptive bound/reference sensitivity
