method,common_cases,infeasible_to_feasible_vs_no_plan,feasible_to_infeasible_vs_no_plan,net_feasible_case_change,median_paired_max_loading_delta_pct_point,mean_paired_max_loading_delta_pct_point,median_paired_voltage_violation_delta_pu,mean_paired_voltage_violation_delta_pu,median_paired_loss_delta_mw,mean_paired_loss_delta_mw,scope
Ablation-FixedDE,72,11,6,5,-22.7466,-17.075529,-0.000978,-0.00737557,-0.0759705,-0.09007201,illustrative; 72 dependent cases from three run-index-0 compositions
Ablation-NoDER,72,12,0,12,-32.1734,-33.979757,-0.003055,-0.00718969,-0.084514,-0.14314508,illustrative; 72 dependent cases from three run-index-0 compositions
Ablation-NoDiversity,72,6,1,5,-19.733,-20.913115,-0.000858,-0.00517472,-0.0707355,-0.10430413,illustrative; 72 dependent cases from three run-index-0 compositions
Ablation-NoRepair,72,14,2,12,-18.59365,-20.298137,-0.0007265,-0.00738451,-0.10891,-0.14361176,illustrative; 72 dependent cases from three run-index-0 compositions
CARS-MODE,72,11,3,8,-16.97095,-14.208935,-0.000676,-0.00727772,-0.0752375,-0.09717358,illustrative; 72 dependent cases from three run-index-0 compositions
GA,72,11,1,10,-26.24855,-24.036393,-0.000811,-0.00753447,-0.08272,-0.12369047,illustrative; 72 dependent cases from three run-index-0 compositions
MOEA/D,72,0,0,0,0,0,0,0,0,0,illustrative; 72 dependent cases from three run-index-0 compositions
NSGA-II,72,14,2,12,-15.4731,-15.158251,-0.000676,-0.00722685,-0.090079,-0.1209256,illustrative; 72 dependent cases from three run-index-0 compositions
PSO,72,10,2,8,-15.92185,-15.080225,0,-0.00633539,-0.102123,-0.11536361,illustrative; 72 dependent cases from three run-index-0 compositions
Standard DE,72,14,1,13,-26.06695,-27.228175,-0.0009875,-0.00781193,-0.12365,-0.1601069,illustrative; 72 dependent cases from three run-index-0 compositions
Weighted Sum,72,2,2,0,-0.0753,-2.348414,-4.5e-05,-0.0011359,-0.018201,-0.01397026,illustrative; 72 dependent cases from three run-index-0 compositions
