axis,value,label,cars_mean,cars_std,nsga_reference,nominal_p
population_size,20,20,0.0382,0.0018,0.0329,0.001
population_size,40,40 (default),0.0409,0.0016,0.0385,0.0058
population_size,60,60,0.0425,0.0007,0.0399,0.0002
tau,0.05,0.05,0.0407,0.0008,0.0385,0.0006
tau,0.1,0.10 (default),0.041,0.0016,0.0385,0.0036
tau,0.2,0.20,0.0416,0.0011,0.0385,0.0002
