configuration_id,method,method_role,seed_block_count,source_seed_rows,mean_legacy_hv_sampled_clip_ref110,mean_analytic_hv_ref110,mean_analytic_hv_ref105,mean_igd_plus_common_reference,mean_front_size,mean_runtime_s_provenance_only
load_growth,Ablation-NoRepair,ablation,1,30,0.034437926,0.001639831,0.0003041596667,0.02163921533,39.26666667,0.0542754
load_growth,CARS-MODE,proposed,1,30,0.03699517833,0.001642153667,0.0003093433333,0.021520673,38.7,0.09735896667
load_growth,GA,baseline,1,30,0.029529974,0.000285074,3.1224e-05,0.226870908,1,0.005552266667
load_growth,GDE3,baseline,1,30,0.033868481,0.001667402333,0.0003112216667,0.019731168,38.96666667,0.06057396667
load_growth,MOEA/D,baseline,1,30,0.00047204,0.00011,6.56e-06,0.45210663,1,0.3709741667
load_growth,NSDE,baseline,1,30,0.03333768567,0.001656249667,0.0003092293333,0.021110618,39.06666667,0.05982123333
load_growth,NSGA-II,baseline,1,30,0.034951522,0.001688246667,0.0003166126667,0.02005046567,40,0.1263690667
load_growth,NSGA-II+Repair,baseline,1,30,0.03464298033,0.00168953,0.000315212,0.019008757,40,0.1250155
load_growth,PSO,baseline,1,30,0.01497604667,0.000361232,5.775233333e-05,0.2026685477,1,0.005708066667
load_growth,Standard DE,baseline,1,30,0.02899947233,0.0003205876667,3.9043e-05,0.2148921733,1,0.01206863333
load_growth,Weighted Sum,baseline,1,30,0.0037515,0.00010021,1.168e-05,0.4113968,1,0.0004280666667
tight_budget,Ablation-FixedDE,ablation,1,30,0.039347187,0.001736927,0.00032965,0.01554666133,38.4,0.0963815
tight_budget,Ablation-NoDER,ablation,1,30,0.04034593133,0.002195884333,0.0004326266667,0.006108363667,36.66666667,0.1214926
tight_budget,Ablation-NoDiversity,ablation,1,30,0.028635559,0.001104819333,0.000207429,0.06968952133,9.7,0.1722905
tight_budget,Ablation-NoRepair,ablation,1,30,0.03438570767,0.001577090667,0.0002946536667,0.020179652,38.56666667,0.05443253333
tight_budget,CARS-MODE,proposed,1,30,0.03924602733,0.001665929,0.0003137403333,0.01873577967,38.26666667,0.09841936667
tight_budget,GA,baseline,1,30,0.03118659733,0.000319819,3.765966667e-05,0.2159113663,1,0.005344633333
tight_budget,GDE3,baseline,1,30,0.033935761,0.001594728333,0.0002977946667,0.02053014167,38.8,0.06062043333
tight_budget,MOEA/D,baseline,1,30,0.00047204,0.00011,6.56e-06,0.37753833,1,0.3675906
tight_budget,NSDE,baseline,1,30,0.03368916733,0.001562097667,0.0002912183333,0.022186053,38.86666667,0.05956836667
tight_budget,NSGA-II,baseline,1,30,0.03573066767,0.001663837667,0.000311987,0.01786280367,40,0.1252250333
tight_budget,NSGA-II+Repair,baseline,1,30,0.03624332667,0.001721187667,0.000324092,0.015888716,40,0.1264477
tight_budget,PSO,baseline,1,30,0.012111463,0.0003684633333,5.981933333e-05,0.180930498,1,0.005663166667
tight_budget,Standard DE,baseline,1,30,0.028832266,0.0003756896667,5.171133333e-05,0.1935762657,1,0.0118738
tight_budget,Weighted Sum,baseline,1,30,0.00394475,8.499e-05,8.32e-06,0.3676291,1,0.0003984333333
loose_budget,Ablation-FixedDE,ablation,1,30,0.048988367,0.002548823333,0.000553852,0.03078741633,38.96666667,0.09330506667
loose_budget,Ablation-NoDER,ablation,1,30,0.04713950967,0.003415981333,0.0007782796667,0.009297819,38.26666667,0.1184062333
loose_budget,Ablation-NoDiversity,ablation,1,30,0.02955074567,0.001299139,0.0002779503333,0.1470638043,8.933333333,0.1724415667
loose_budget,Ablation-NoRepair,ablation,1,30,0.045047415,0.002561351333,0.0005572963333,0.028042467,39.33333333,0.05415956667
loose_budget,CARS-MODE,proposed,1,30,0.048734638,0.00256783,0.0005597066667,0.02951801567,38.8,0.09504623333
loose_budget,GA,baseline,1,30,0.031741562,0.000405099,5.044533333e-05,0.248766529,1,0.005466833333
loose_budget,GDE3,baseline,1,30,0.044645503,0.002553568667,0.0005551676667,0.02862511867,38.96666667,0.06100903333
loose_budget,MOEA/D,baseline,1,30,0.00047204,0.00011,6.56e-06,0.52147953,1,0.374895
loose_budget,NSDE,baseline,1,30,0.04525461533,0.002563477667,0.0005582153333,0.028634895,39.1,0.06040663333
loose_budget,NSGA-II,baseline,1,30,0.04481118633,0.002559177,0.0005529523333,0.02925397067,40,0.1299192667
loose_budget,NSGA-II+Repair,baseline,1,30,0.04457432733,0.002561318333,0.0005569226667,0.02855718433,40,0.1276690333
loose_budget,PSO,baseline,1,30,0.024826561,0.0006015516667,0.0001084923333,0.2138365847,1,0.005653733333
loose_budget,Standard DE,baseline,1,30,0.031732157,0.0004531083333,6.299866667e-05,0.2373343617,1,0.0119908
loose_budget,Weighted Sum,baseline,1,30,0.00883427,0.00024961,3.611e-05,0.36513475,1,0.0004082
