paper,experiment_id,method,method_role,seed,hypervolume,hypervolume_worst_case,feasible_front_size,compromise_cost_index,compromise_loss_index,compromise_voltage_risk,compromise_hosting_capacity,compromise_reliability,compromise_survivability,portfolio_size,hosting_shortfall,der_readiness_shortfall,runtime_s,source_status
p3,base_distribution_planning,CARS-MODE,proposed,0,0.04059662,0.04059662,39,0.99300695,0.12380298,0.17363947,0.00003827,0.99764387,1.00000000,14,0.01796173,0.00000000,0.173444,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,1,0.04244966,0.04244966,39,0.98537253,0.12385201,0.17420003,0.00003479,1.00000000,1.00000000,14,0.01796521,0.00000000,0.127810,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,2,0.04168446,0.04168446,38,0.99753797,0.12378471,0.17347752,0.00003363,1.00000000,1.00000000,14,0.01796637,0.00000000,0.126872,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,3,0.03920547,0.03920547,39,0.92315079,0.12404334,0.17556198,0.00003363,0.97621604,1.00000000,13,0.01796637,0.00000000,0.121370,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,4,0.04144311,0.04144311,39,0.98990355,0.12383374,0.17403809,0.00003015,1.00000000,1.00000000,14,0.01796985,0.00000000,0.119920,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,5,0.03699134,0.03699134,39,0.86713831,0.11879125,0.18306006,0.00000000,1.00000000,1.00000000,9,0.01800000,0.13053763,0.124696,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,6,0.04190374,0.04190374,38,0.97320708,0.12391931,0.17492254,0.00003595,1.00000000,1.00000000,14,0.01796405,0.00000000,0.123748,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,7,0.04159361,0.04159361,38,0.99753797,0.12378471,0.17347752,0.00003363,1.00000000,1.00000000,14,0.01796637,0.00000000,0.124638,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,8,0.04283650,0.04283650,39,0.99300695,0.12380298,0.17363947,0.00003827,0.99764387,1.00000000,14,0.01796173,0.00000000,0.122251,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,CARS-MODE,proposed,9,0.04002796,0.04002796,39,0.86999110,0.12419812,0.17660003,0.00002320,1.00000000,1.00000000,12,0.01797680,0.00000000,0.124861,public_simbench_planning_v7_direct_moea_de_controls
