paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p3,base_distribution_planning,Ablation-NoDER,ablation,2,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004730,public_simbench_planning_v1
p3,base_distribution_planning,Ablation-NoDER,ablation,3,0.59998676,0.01995922,0.74387187,0.12462400,0.17995922,0.00000000,1.00000000,1.00000000,0.12462400,10,0.00004700,public_simbench_planning_v1
p3,der_siting_sizing,CARS-MODE,proposed,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00015920,public_simbench_planning_v1
p3,der_siting_sizing,CARS-MODE,proposed,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00018280,public_simbench_planning_v1
p3,der_siting_sizing,CARS-MODE,proposed,3,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00015290,public_simbench_planning_v1
p3,der_siting_sizing,NSGA-II,baseline,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00009480,public_simbench_planning_v1
p3,der_siting_sizing,NSGA-II,baseline,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00009260,public_simbench_planning_v1
p3,der_siting_sizing,NSGA-II,baseline,3,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00008870,public_simbench_planning_v1
p3,der_siting_sizing,MOEA/D,baseline,1,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00008870,public_simbench_planning_v1
p3,der_siting_sizing,MOEA/D,baseline,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00009410,public_simbench_planning_v1
p3,der_siting_sizing,MOEA/D,baseline,3,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00008810,public_simbench_planning_v1
p3,der_siting_sizing,Standard DE,baseline,1,0.54082282,0.02521183,0.81641127,0.12196923,0.18521183,0.00058866,0.85762478,0.95508577,0.12361268,8,0.00012760,public_simbench_planning_v1
p3,der_siting_sizing,Standard DE,baseline,2,0.45401196,0.02834244,0.96462327,0.11903848,0.18834244,0.00118292,0.63462126,0.73450929,0.12851956,7,0.00013480,public_simbench_planning_v1
p3,der_siting_sizing,Standard DE,baseline,3,0.52234790,0.02417377,0.96335045,0.12043589,0.18417377,0.00091963,0.80325643,0.91178576,0.12362314,9,0.00010460,public_simbench_planning_v1
p3,der_siting_sizing,PSO,baseline,1,0.58460856,0.02394451,0.85044184,0.11887682,0.18394451,0.00000103,0.96363712,1.00000000,0.11887682,9,0.00010220,public_simbench_planning_v1
p3,der_siting_sizing,PSO,baseline,2,0.54082282,0.02521183,0.81641127,0.12196923,0.18521183,0.00058866,0.85762478,0.95508577,0.12361268,8,0.00013470,public_simbench_planning_v1
p3,der_siting_sizing,PSO,baseline,3,0.50818694,0.02725873,0.74281511,0.12221776,0.18725873,0.00059115,0.77903069,0.87494607,0.12680291,7,0.00012060,public_simbench_planning_v1
p3,der_siting_sizing,GA,baseline,1,0.54636576,0.02448908,0.88533880,0.12135856,0.18448908,0.00052574,0.86896511,0.97122092,0.12240634,8,0.00011340,public_simbench_planning_v1
p3,der_siting_sizing,GA,baseline,2,0.51846119,0.02374515,0.99827037,0.11695977,0.18374515,0.00026410,0.78822969,0.92767640,0.11949746,9,0.00010160,public_simbench_planning_v1
p3,der_siting_sizing,GA,baseline,3,0.46415797,0.02915981,0.86750456,0.11674806,0.18915981,0.00065800,0.66128630,0.77731697,0.12454741,7,0.00011110,public_simbench_planning_v1
p3,der_siting_sizing,Weighted Sum,baseline,1,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00008490,public_simbench_planning_v1
p3,der_siting_sizing,Weighted Sum,baseline,2,0.35893919,0.03240373,0.40383498,0.12599887,0.19240373,0.00000722,0.40454356,0.50908782,0.14455519,7,0.00007560,public_simbench_planning_v1
