word_budget,condition,reports,failure_rate,rougeL_f1,redundancy,role_coverage,typed_edge_coverage,actual_words,budget_utilization,estimated_total_seconds,python_peak_memory_mb
110,AB-0,12,0.0,0.07988596419878304,0.18199776067215853,0.4444444444444444,0.6513888888888889,107.91666666666667,0.9810606060606061,0.3907386999975036,1.2037911415100098
110,AB-1,12,0.0,0.08406043031691113,0.18314711189539304,0.5833333333333334,0.8805555555555555,107.75,0.9795454545454545,0.3814208500067859,1.1847153504689534
110,AB-2,12,0.0,0.08599761192503136,0.0924765725580231,0.9722222222222222,0.9416666666666668,107.91666666666667,0.9810606060606061,0.37351454167704407,1.1817268530527751
110,AB-3,12,0.0,0.08413064371839361,0.09720265633359625,0.9444444444444445,0.9791666666666666,107.83333333333333,0.9803030303030303,0.3711392999927436,1.176788568496704
110,AB-4,12,0.0,0.08022235665435173,0.07565956202958697,0.9444444444444445,1.0,107.58333333333333,0.978030303030303,0.3708225666632643,1.1832658449808757
110,AB-5,12,0.0,0.07981168529777014,0.06753858639745573,0.9444444444444445,1.0,107.16666666666667,0.9742424242424242,0.3701903166656848,1.1790544191996257
110,AB-6,12,0.0,0.082653414832692,0.08539703409353716,0.9444444444444445,0.9652777777777778,107.75,0.9795454545454546,0.37204287500450545,1.1767903168996174
110,RP-00,12,0.0,0.083422706759286,0.08642787360537023,0.611111111111111,0.9791666666666666,108.58333333333333,0.9871212121212122,0.38592639166745357,1.1978715260823567
110,RP-10,12,0.0,0.082653414832692,0.08539703409353716,0.9444444444444445,0.9652777777777778,107.75,0.9795454545454546,0.37159232499834616,1.1768271923065186
110,RP-01,12,0.0,0.08162143484623798,0.07150510675579787,0.6388888888888888,0.9625,107.58333333333333,0.978030303030303,0.3834501000043626,1.1860803763071697
110,RP-11,12,0.0,0.07981168529777014,0.06753858639745573,0.9444444444444445,1.0,107.16666666666667,0.9742424242424242,0.3703842000007474,1.1790296236673992
110,G-U,12,0.0,0.08345903959260459,0.08978051031285267,0.9444444444444445,0.9416666666666668,107.16666666666667,0.9742424242424242,0.3923209749967403,1.1724135080973308
110,G-T,12,0.0,0.082653414832692,0.08539703409353716,0.9444444444444445,0.9652777777777778,107.75,0.9795454545454546,0.37180926666769665,1.1802756786346436
260,AB-0,12,0.0,0.12683362105857274,0.15933789240085192,0.611111111111111,0.6573743386243386,258.0,0.9923076923076923,0.6384028249982899,2.5281899770100913
260,AB-1,12,0.0,0.12518593481017906,0.15269330727499306,0.75,0.8480820105820106,257.75,0.9913461538461538,0.635696416667391,2.533033847808838
260,AB-2,12,0.0,0.12217562447656032,0.11653290976467258,0.9722222222222222,0.8799603174603176,257.5833333333333,0.9907051282051281,0.6330975000067459,2.5303776264190674
260,AB-3,12,0.0,0.12241387210081543,0.11375973776241026,1.0,0.9487433862433862,258.25,0.9932692307692307,0.6391791583252294,2.5144170920054116
260,AB-4,12,0.0,0.12623905653085352,0.09485297068967836,1.0,0.9710648148148149,258.8333333333333,0.9955128205128205,0.6300507000026604,2.532487392425537
260,AB-5,12,0.0,0.12463104831945819,0.06493055767470925,1.0,0.9895833333333334,258.5,0.9942307692307693,0.6649713749987617,2.540558338165283
260,AB-6,12,0.0,0.12196649670129482,0.07762558991308897,1.0,0.9672619047619048,258.1666666666667,0.992948717948718,0.6428108500016,2.518866856892904
260,RP-00,12,0.0,0.12078885619306878,0.07825693819432569,0.7777777777777777,0.9340277777777778,258.75,0.9951923076923078,0.6459082166644899,2.522603909174601
260,RP-10,12,0.0,0.12196649670129482,0.07762558991308897,1.0,0.9672619047619048,258.1666666666667,0.992948717948718,0.6301861249958165,2.518831253051758
260,RP-01,12,0.0,0.1226388027297175,0.06192385673951776,0.75,0.9833333333333334,257.8333333333333,0.9916666666666667,0.6507371333427727,2.5365015665690103
260,RP-11,12,0.0,0.12463104831945819,0.06493055767470925,1.0,0.9895833333333334,258.5,0.9942307692307693,0.6573819750143836,2.5234080950419107
260,G-U,12,0.0,0.11990967181553587,0.08697144602415856,1.0,0.8720238095238094,257.5,0.9903846153846154,0.6444348083459772,2.5173062483469644
260,G-T,12,0.0,0.12196649670129482,0.07762558991308897,1.0,0.9672619047619048,258.1666666666667,0.992948717948718,0.6243885166671438,2.518657684326172
