actual_words,budget_utilization,condition,doc_id,estimated_total_seconds,preprocess_seconds_shared,python_peak_memory_mb,redundancy,report_series_id,role_coverage,rouge1_f1,rouge2_f1,rougeL_f1,selected_units,selection_and_scoring_seconds,status,typed_edge_coverage,word_budget
108,0.9818181818181818,AB-0,nerc_003_january_2025_arctic_events_a_system_perfor,0.2443663000012748,0.07216779998270795,0.9930419921875,0.24961240310077523,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.22469135802469134,0.11633663366336634,0.1308641975308642,3,0.17219850001856685,PASS,0.6666666666666666,110
110,1.0,AB-1,nerc_003_january_2025_arctic_events_a_system_perfor,0.23222700000042096,0.07216779998270795,0.9932785034179688,0.20174915523752732,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.22413793103448273,0.10864197530864197,0.1330049261083744,3,0.160059200017713,PASS,0.6666666666666666,110
108,0.9818181818181818,AB-2,nerc_003_january_2025_arctic_events_a_system_perfor,0.22107409994350746,0.07216779998270795,0.98236083984375,0.1481010249985582,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23427866831072752,0.12360939431396785,0.1405672009864365,4,0.14890629996079952,PASS,1.0,110
109,0.990909090909091,AB-3,nerc_003_january_2025_arctic_events_a_system_perfor,0.22152139997342601,0.07216779998270795,0.9824676513671875,0.0973005973005973,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23124231242312426,0.11097410604192355,0.1328413284132841,4,0.14935359999071807,PASS,1.0,110
109,0.990909090909091,AB-4,nerc_003_january_2025_arctic_events_a_system_perfor,0.2125512999482453,0.07216779998270795,0.9822158813476562,0.062194970890623064,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.20468557336621454,0.0815822002472188,0.11097410604192354,3,0.14038349996553734,PASS,1.0,110
109,0.990909090909091,AB-5,nerc_003_january_2025_arctic_events_a_system_perfor,0.212939299934078,0.07216779998270795,0.982208251953125,0.062194970890623064,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.20468557336621454,0.0815822002472188,0.11097410604192354,3,0.14077149995137006,PASS,1.0,110
109,0.990909090909091,AB-6,nerc_003_january_2025_arctic_events_a_system_perfor,0.22227119997842237,0.07216779998270795,0.9847793579101562,0.0973005973005973,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23124231242312426,0.11097410604192355,0.1328413284132841,4,0.15010339999571443,PASS,1.0,110
110,1.0,RP-00,nerc_003_january_2025_arctic_events_a_system_perfor,0.24549339996883646,0.07216779998270795,1.0599136352539062,0.05671055671055671,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.21375921375921378,0.09113300492610837,0.13022113022113022,4,0.1733255999861285,PASS,0.75,110
109,0.990909090909091,RP-10,nerc_003_january_2025_arctic_events_a_system_perfor,0.22032599995145574,0.07216779998270795,0.9848556518554688,0.0973005973005973,nerc_003_january_2025_arctic_events_a_system_perfor,1.0,0.23124231242312426,0.11097410604192355,0.1328413284132841,4,0.1481581999687478,PASS,1.0,110
110,1.0,RP-01,nerc_003_january_2025_arctic_events_a_system_perfor,0.24364860000787303,0.07216779998270795,1.0234146118164062,0.05671055671055671,nerc_003_january_2025_arctic_events_a_system_perfor,0.6666666666666666,0.21375921375921378,0.09113300492610837,0.13022113022113022,4,0.17148080002516508,PASS,0.75,110
