backbone,metric,estimate,ci_low,ci_high,ci_excludes_zero,granite_minus_qwen,between_ci_low,between_ci_high,direction_positive
Qwen-7B,correct_int,0.2305555555555555,0.0538412017167382,0.4306237860628167,True,-0.0722222222222222,-0.1230163924208426,-0.0271728597910348,True
Qwen-7B,shape_int,0.4944444444444444,0.2662325983369148,0.6912462969058589,True,-0.0416666666666666,-0.1811233732623484,0.1048961840628506,True
Granite-8B,correct_int,0.1583333333333333,-0.0200022321428571,0.3664604403108841,False,-0.0722222222222222,-0.1230163924208426,-0.0271728597910348,True
Granite-8B,shape_int,0.4527777777777778,0.2709643817204302,0.6398839285714283,True,-0.0416666666666666,-0.1811233732623484,0.1048961840628506,True
