metric,effect,qwen_effect,granite_effect,granite_minus_qwen,ci_low,ci_high,cluster_count,bootstrap_samples,metric_label,effect_label,ci_excludes_zero
correct_int,backbone_x_context_compact_main,-0.0527777777777777,0.0138888888888888,0.0666666666666666,-0.0375018063583814,0.1800964656446071,70,20000,Execution,Backbone × compact context,False
correct_int,backbone_x_shape_hint_main,0.2305555555555555,0.1583333333333333,-0.0722222222222222,-0.1230163924208426,-0.0271728597910348,70,20000,Execution,Backbone × shape hint,True
correct_int,backbone_x_interaction,-0.1277777777777777,0.0611111111111111,0.1888888888888888,0.0067114093959731,0.4310370638034274,70,20000,Execution,Backbone × context × shape,True
shape_int,backbone_x_context_compact_main,-0.0333333333333333,0.0138888888888888,0.0472222222222222,-0.0376344086021505,0.1351407346573087,70,20000,Answer shape,Backbone × compact context,False
shape_int,backbone_x_shape_hint_main,0.4944444444444444,0.4527777777777778,-0.0416666666666666,-0.1811233732623484,0.1048961840628506,70,20000,Answer shape,Backbone × shape hint,False
shape_int,backbone_x_interaction,0.0555555555555555,0.0611111111111111,0.0055555555555555,-0.1835502907971261,0.1742759868071069,70,20000,Answer shape,Backbone × context × shape,False
