backbone,condition,condition_label,n,execution_correct,execution_accuracy,shape_correct,shape_accuracy
Qwen-7B,F00_Full_NoShape,Full / no shape,180,76,0.4222222222222222,90,0.5
Qwen-7B,F01_Full_WithShape,Full / shape,180,129,0.7166666666666667,174,0.9666666666666668
Qwen-7B,F10_Compact_NoShape,Compact / no shape,180,78,0.4333333333333333,79,0.4388888888888889
Qwen-7B,F11_Compact_WithShape,Compact / shape,180,108,0.6,173,0.9611111111111112
Granite-8B,F00_Full_NoShape,Full / no shape,180,77,0.4277777777777777,82,0.4555555555555555
Granite-8B,F01_Full_WithShape,Full / shape,180,100,0.5555555555555556,158,0.8777777777777778
Granite-8B,F10_Compact_NoShape,Compact / no shape,180,74,0.4111111111111111,79,0.4388888888888889
Granite-8B,F11_Compact_WithShape,Compact / shape,180,108,0.6,166,0.9222222222222224
