backbone,metric,effect,estimate,ci_low,ci_high,cluster_unit,cluster_count,question_count,bootstrap_samples,metric_label,effect_label,ci_excludes_zero
Qwen-7B,correct_int,context_compact_main,-0.0527777777777777,-0.1136363636363636,0.0,normalized_gold_sql_template,70,180.0,20000,Execution,Compact-context main,False
Qwen-7B,correct_int,shape_hint_main,0.2305555555555555,0.0538412017167382,0.4306237860628167,normalized_gold_sql_template,70,180.0,20000,Execution,Shape-hint main,True
Qwen-7B,correct_int,interaction,-0.1277777777777777,-0.2448979591836734,-0.0338983050847457,normalized_gold_sql_template,70,180.0,20000,Execution,Context × shape,True
Qwen-7B,shape_int,context_compact_main,-0.0333333333333333,-0.0906040268456375,0.0037037037037037,normalized_gold_sql_template,70,180.0,20000,Answer shape,Compact-context main,False
Qwen-7B,shape_int,shape_hint_main,0.4944444444444444,0.2662325983369148,0.6912462969058589,normalized_gold_sql_template,70,180.0,20000,Answer shape,Shape-hint main,True
Qwen-7B,shape_int,interaction,0.0555555555555555,-0.0149272388059701,0.1646359397417502,normalized_gold_sql_template,70,180.0,20000,Answer shape,Context × shape,False
Granite-8B,correct_int,context_compact_main,0.0138888888888888,-0.0573770491803278,0.0800868427688815,,70,,20000,Execution,Compact-context main,False
Granite-8B,correct_int,shape_hint_main,0.1583333333333333,-0.0200022321428571,0.3664604403108841,,70,,20000,Execution,Shape-hint main,False
Granite-8B,correct_int,interaction,0.0611111111111111,-0.0524021869277362,0.2,,70,,20000,Execution,Context × shape,False
Granite-8B,shape_int,context_compact_main,0.0138888888888888,-0.0549148079774838,0.086734693877551,,70,,20000,Answer shape,Compact-context main,False
Granite-8B,shape_int,shape_hint_main,0.4527777777777778,0.2709643817204302,0.6398839285714283,,70,,20000,Answer shape,Shape-hint main,True
Granite-8B,shape_int,interaction,0.0611111111111111,-0.0740793650793649,0.1979707996180327,,70,,20000,Answer shape,Context × shape,False
