paper,experiment_id,comparison,opponent_role,n_per_group,mean_proposed,mean_opponent,mean_diff,u_statistic,p_value,p_holm,significant_005_holm
p3,der_siting_sizing,CARS-MODE vs Standard DE,baseline,30,0.04495650,0.03163684,0.01331966,900.00,2.57737e-11,2.57737e-10,True
p3,der_siting_sizing,CARS-MODE vs Weighted Sum,baseline,30,0.04495650,0.00482464,0.04013186,900.00,1.21178e-12,1.57531e-11,True
p3,load_growth_expansion,CARS-MODE vs Ablation-FixedDE,ablation,30,0.03699518,0.03722969,-0.00023451,403.00,0.491783,0.491783,False
p3,load_growth_expansion,CARS-MODE vs Ablation-NoDER,ablation,30,0.03699518,0.03625341,0.00074177,532.00,0.22823,0.45646,False
p3,load_growth_expansion,CARS-MODE vs Ablation-NoDiversity,ablation,30,0.03699518,0.02705842,0.00993675,898.00,3.68973e-11,2.95178e-10,True
p3,load_growth_expansion,CARS-MODE vs Ablation-NoRepair,ablation,30,0.03699518,0.03443793,0.00255725,797.00,3.01026e-07,1.50513e-06,True
p3,load_growth_expansion,CARS-MODE vs GA,baseline,30,0.03699518,0.02952997,0.00746520,900.00,6.31878e-12,6.95066e-11,True
p3,load_growth_expansion,CARS-MODE vs GDE3,baseline,30,0.03699518,0.03386848,0.00312670,800.00,2.37682e-07,1.42609e-06,True
p3,load_growth_expansion,CARS-MODE vs MOEA/D,baseline,30,0.03699518,0.00047204,0.03652314,900.00,1.21178e-12,1.57531e-11,True
p3,load_growth_expansion,CARS-MODE vs NSDE,baseline,30,0.03699518,0.03333769,0.00365749,851.00,3.19674e-09,2.23772e-08,True
p3,load_growth_expansion,CARS-MODE vs NSGA-II,baseline,30,0.03699518,0.03495152,0.00204366,761.00,4.4205e-06,1.32615e-05,True
p3,load_growth_expansion,CARS-MODE vs NSGA-II+Repair,baseline,30,0.03699518,0.03464298,0.00235220,794.00,3.80526e-07,1.52211e-06,True
p3,load_growth_expansion,CARS-MODE vs PSO,baseline,30,0.03699518,0.01497605,0.02201913,900.00,3.01797e-11,2.8502e-10,True
p3,load_growth_expansion,CARS-MODE vs Standard DE,baseline,30,0.03699518,0.02899947,0.00799571,900.00,2.8502e-11,2.8502e-10,True
p3,load_growth_expansion,CARS-MODE vs Weighted Sum,baseline,30,0.03699518,0.00375150,0.03324368,900.00,1.21178e-12,1.57531e-11,True
p3,pareto_quality,CARS-MODE vs Ablation-FixedDE,ablation,30,0.04061615,0.04081048,-0.00019433,400.00,0.464273,0.464273,False
p3,pareto_quality,CARS-MODE vs Ablation-NoDER,ablation,30,0.04061615,0.04093460,-0.00031845,345.00,0.122353,0.244706,False
p3,pareto_quality,CARS-MODE vs Ablation-NoDiversity,ablation,30,0.04061615,0.02649943,0.01411672,900.00,3.0123e-11,2.8628e-10,True
p3,pareto_quality,CARS-MODE vs Ablation-NoRepair,ablation,30,0.04061615,0.03766777,0.00294838,817.00,6.01039e-08,3.60623e-07,True
p3,pareto_quality,CARS-MODE vs GA,baseline,30,0.04061615,0.03078225,0.00983390,900.00,4.08059e-12,4.48865e-11,True
p3,pareto_quality,CARS-MODE vs GDE3,baseline,30,0.04061615,0.03642325,0.00419290,850.00,3.49711e-09,2.44798e-08,True
p3,pareto_quality,CARS-MODE vs MOEA/D,baseline,30,0.04061615,0.00047204,0.04014411,900.00,1.21178e-12,1.57531e-11,True
p3,pareto_quality,CARS-MODE vs NSDE,baseline,30,0.04061615,0.03769835,0.00291780,801.00,2.19589e-07,8.78354e-07,True
p3,pareto_quality,CARS-MODE vs NSGA-II,baseline,30,0.04061615,0.03812074,0.00249541,811.00,9.83289e-08,4.91645e-07,True
p3,pareto_quality,CARS-MODE vs NSGA-II+Repair,baseline,30,0.04061615,0.03823547,0.00238068,797.00,3.01026e-07,9.03078e-07,True
p3,pareto_quality,CARS-MODE vs PSO,baseline,30,0.04061615,0.01555666,0.02505949,900.00,3.01797e-11,2.8628e-10,True
p3,pareto_quality,CARS-MODE vs Standard DE,baseline,30,0.04061615,0.03018077,0.01043538,900.00,2.8628e-11,2.8628e-10,True
p3,pareto_quality,CARS-MODE vs Weighted Sum,baseline,30,0.04061615,0.00434006,0.03627609,900.00,1.21178e-12,1.57531e-11,True
p3,runtime_scalability,CARS-MODE vs Ablation-FixedDE,ablation,30,0.04873464,0.04898837,-0.00025373,371.00,0.245814,0.245814,False
p3,runtime_scalability,CARS-MODE vs Ablation-NoDER,ablation,30,0.04873464,0.04713951,0.00159513,682.00,0.000620265,0.00124053,True
p3,runtime_scalability,CARS-MODE vs Ablation-NoDiversity,ablation,30,0.04873464,0.02955075,0.01918389,900.00,3.00098e-11,2.96169e-10,True
p3,runtime_scalability,CARS-MODE vs Ablation-NoRepair,ablation,30,0.04873464,0.04504742,0.00368722,862.00,1.17374e-09,4.69494e-09,True
