paper,experiment_id,method,method_role,reinforcement,storage,der,automation,source_status
p3,base_distribution_planning,CARS-MODE,proposed,6,7,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,NSGA-II,baseline,5,4,6,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,NSGA-II+Repair,baseline,7,5,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,GDE3,baseline,8,2,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,NSDE,baseline,5,4,6,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,Standard DE,baseline,7,4,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,PSO,baseline,4,2,1,1,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,GA,baseline,7,6,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,Weighted Sum,baseline,0,0,1,3,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,Ablation-NoRepair,ablation,9,3,2,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,Ablation-FixedDE,ablation,5,8,1,0,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,Ablation-NoDiversity,ablation,7,0,1,1,public_simbench_planning_v7_direct_moea_de_controls
p3,base_distribution_planning,Ablation-NoDER,ablation,12,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,CARS-MODE,proposed,10,0,3,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,NSGA-II,baseline,8,0,7,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,NSGA-II+Repair,baseline,8,0,7,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,MOEA/D,baseline,0,0,0,0,public_simbench_planning_v7_direct_moea_de_controls
p3,der_siting_sizing,GDE3,baseline,8,0,5,0,public_simbench_planning_v7_direct_moea_de_controls
