protocol,k1_mean_f1,k1_sd,k3_mean_f1,k3_sd,k5_mean_f1,k5_sd,k10_mean_f1,k10_sd
oracle-label,0.6705045502427855,0.004950378799150189,0.4926170355948375,0.0014953817926272033,0.41604097680097685,0.000941556606988391,0.3562772195557903,0.00010074993463681428
predicted-label,0.6687510148892503,0.005051947710621105,0.49201708654606485,0.002127996183836816,0.41496325859325867,0.0007382824402123496,0.35630019897403287,0.00023852301375890372
label-blind,0.6676987926670279,0.002094840750418824,0.4910455752033771,0.002061591868285982,0.41542948411066066,0.0005553840440800561,0.3560463349978531,0.0003006964442733271
bm25,0.6993632563514915,0.0,0.4864023951739122,0.0,0.4109063483357601,0.0,0.3529582574411935,0.0
