model,questions,first_execution_equal_count,validator_execution_equal_count,first_execution_equality_rate,validator_execution_equality_rate,selection_changes,rescues,harms,oracle_at_3_diagnostic
qwen,180,105,112,0.5833333333333334,0.6222222222222222,24,8,1,0.6388888888888888
granite,180,71,81,0.39444444444444443,0.45,36,10,0,0.4666666666666667
