model,geometric_latency_ratio,ratio_ci_low,ratio_ci_high,formal_latency_eligible,demotion_reasons
qwen,1.0604562574969822,1.0173127084532847,1.1263950581217563,False,efficiency_attestation_missing
granite,0.9258437511236753,0.7937407462023354,1.0898151926936404,False,efficiency_attestation_missing
