condition,condition_label,n,execution_correct,execution_accuracy,shape_correct,shape_accuracy
F00_Full_NoShape,Full / no shape,180,76,0.4222222222222222,90,0.5
F01_Full_WithShape,Full / shape,180,129,0.7166666666666667,174,0.9666666666666668
F10_Compact_NoShape,Compact / no shape,180,78,0.4333333333333333,79,0.4388888888888889
F11_Compact_WithShape,Compact / shape,180,108,0.6,173,0.9611111111111112
