doc_id,report_series_id,variant,budget,selected_sentence_ids,selection_overlap_with_production,rouge1_f1,rouge2_f1,rougeL_f1,redundancy
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,chunk_mean_254,5,s00014|s00021|s00035|s00094|s00112,1.0,0.15727948990435706,0.03194888178913738,0.0871413390010627,0.02401991874686516
nerc_005_nerc_2023_southwest_ut_disturbance_report,nerc_005_nerc_2023_southwest_ut_disturbance_report,chunk_mean_254,10,s00014|s00021|s00030|s00035|s00056|s00065|s00068|s00094|s00108|s00112,1.0,0.33870967741935487,0.10233393177737883,0.13978494623655913,0.05259125567941953
nerc_006_june_2022_odessa_disturbance_report,series_odessa,production_256,5,s00196|s00217|s00220|s00245|s00456,1.0,0.10981912144702843,0.027149321266968326,0.06007751937984497,0.06612067852728573
nerc_006_june_2022_odessa_disturbance_report,series_odessa,production_256,10,s00049|s00146|s00169|s00196|s00211|s00217|s00220|s00245|s00456|s00483,1.0,0.1813349084465446,0.0508274231678487,0.0767867690490254,0.05629921285682185
nerc_006_june_2022_odessa_disturbance_report,series_odessa,extended_512,5,s00196|s00217|s00220|s00245|s00456,1.0,0.10981912144702843,0.027149321266968326,0.06007751937984497,0.06612067852728573
nerc_006_june_2022_odessa_disturbance_report,series_odessa,extended_512,10,s00009|s00049|s00146|s00196|s00211|s00217|s00220|s00245|s00456|s00483,0.9,0.1782119597394908,0.049170616113744084,0.07933688573120189,0.06479893635748069
nerc_006_june_2022_odessa_disturbance_report,series_odessa,chunk_mean_254,5,s00196|s00217|s00220|s00245|s00456,1.0,0.10981912144702843,0.027149321266968326,0.06007751937984497,0.06612067852728573
nerc_006_june_2022_odessa_disturbance_report,series_odessa,chunk_mean_254,10,s00009|s00049|s00146|s00196|s00211|s00217|s00220|s00245|s00271|s00456,0.8,0.17262638717632553,0.0499691548426897,0.08199753390875462,0.07462445616920266
nerc_009_odessa_disturbance_report,series_odessa,production_256,5,s00135|s00338|s00437|s00605|s00685,1.0,0.14615384615384616,0.03165098374679213,0.06153846153846154,0.044755574253943456
nerc_009_odessa_disturbance_report,series_odessa,production_256,10,s00135|s00211|s00278|s00338|s00437|s00578|s00605|s00621|s00626|s00685,1.0,0.23736968724939858,0.06902086677367576,0.10024057738572574,0.06916583080248227
nerc_009_odessa_disturbance_report,series_odessa,extended_512,5,s00135|s00338|s00437|s00605|s00685,1.0,0.14615384615384616,0.03165098374679213,0.06153846153846154,0.044755574253943456
nerc_009_odessa_disturbance_report,series_odessa,extended_512,10,s00135|s00211|s00278|s00338|s00437|s00578|s00605|s00621|s00626|s00685,1.0,0.23736968724939858,0.06902086677367576,0.10024057738572574,0.06916583080248227
nerc_009_odessa_disturbance_report,series_odessa,chunk_mean_254,5,s00135|s00338|s00437|s00605|s00685,1.0,0.14615384615384616,0.03165098374679213,0.06153846153846154,0.044755574253943456
nerc_009_odessa_disturbance_report,series_odessa,chunk_mean_254,10,s00135|s00211|s00278|s00338|s00437|s00578|s00605|s00621|s00626|s00685,1.0,0.23736968724939858,0.06902086677367576,0.10024057738572574,0.06916583080248227
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,production_256,5,s00060|s00177|s00197|s00229|s00258,1.0,0.07393517278328422,0.032162958992227285,0.04553978033753014,0.049499340091456935
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,production_256,10,s00008|s00060|s00124|s00130|s00177|s00196|s00197|s00229|s00241|s00258,1.0,0.13683127572016462,0.05970149253731343,0.06635802469135803,0.06399723401297815
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,extended_512,5,s00060|s00177|s00197|s00229|s00258,1.0,0.07393517278328422,0.032162958992227285,0.04553978033753014,0.049499340091456935
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,extended_512,10,s00008|s00060|s00124|s00130|s00177|s00196|s00197|s00229|s00241|s00258,1.0,0.13683127572016462,0.05970149253731343,0.06635802469135803,0.06399723401297815
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,chunk_mean_254,5,s00060|s00177|s00197|s00229|s00258,1.0,0.07393517278328422,0.032162958992227285,0.04553978033753014,0.049499340091456935
nerc_011_san_fernando_disturbance_report,nerc_011_san_fernando_disturbance_report,chunk_mean_254,10,s00008|s00060|s00124|s00130|s00177|s00196|s00197|s00229|s00241|s00258,1.0,0.13683127572016462,0.05970149253731343,0.06635802469135803,0.06399723401297815
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,production_256,5,s00001|s00024|s00054|s00109|s00121,1.0,0.1396957123098202,0.038781163434903045,0.07883817427385893,0.0482438755712413
nerc_012_january_11_oscillation_event_report,nerc_012_january_11_oscillation_event_report,production_256,10,s00001|s00007|s00024|s00054|s00090|s00095|s00109|s00115|s00121|s00135,1.0,0.25863151286880104,0.06913890634820867,0.11173885750156938,0.050711839263227525
